WHestBench Canonical Current State — v25 historical snapshot; superseded by V26 Decision Memo (2026-07-30 18:50 ET),Conclusion,Evidence / environment,Competition meaning
Layer31 evidence status,"The repair channel remains large, but M160 establishes pooled checkpoint heterogeneity rather than within-network multi-rank. M161 closes one five-source feature/ridge coefficient class, and M162 shows its projected-ReLU label has only1.144709x untouched-test oracle headroom while cheap invariant summaries fail. M146 remains quarantined; M153/M158/M159 close additional named representations.","M146,M153,M155,M158–M162","Treat layer31 as a useful repair interface, but do not choose scalar versus multi-mode source models until per-network increment geometry is recovered."
Learning evidence,M152 is removed from evidence. M76 and M145 retain only qualitative historical conclusions because decisive rows/scripts are incomplete. The reproducible T4 grouped dictionary in M153 has negative OOF predictability.,"M76,M145,M152,M153","Close tested representations, not universal learnability. Do not rebuild M152 ad hoc and call it a reproduction."
Harmonic and control boundary,T36 proves adaptive global tuning cannot help within a uniformly annihilated control family. Named low-degree polynomial/Hermite/Stein and bias-free one-layer classes remain exact no-ops. M156 closes one genuine high-degree Poisson family; M157 closes a nonlinear projected-ReLU family.,"T36,M156,M157; T25/M79/V67","The taxonomy is now sharper: exact no-op classes, failed high-degree classes, and richer biased/deep/nonhomogeneous controls still logically open."
Signed/static boundary,"T27/T38 close arbitrary real weights and deletion inside the fixed Kerdock/MUB line universe. T57 now proves every static network-independent mass-one arbitrary-signed rule with<=66,048 nodes has limiting-kernel risk>=0.9370459569 R_K.","T27,T38,T45,T47,T56,T57; M158","Use T57 as the current global static signed theorem. Cheaper, finite-width-specific, adaptive, nonlinear and free-mass classes remain open."
Statistical portfolio,"No active deployable statistical branch survives across the tested information classes, including the newly reopened four. Broad adaptive/nonlinear classes remain mathematically open, but no evidence-backed route approaches the winning gate.","M132–M158,C67,T32,T33",Stop open-ended estimator search under the current deadline and resource constraints.
Implementation portfolio,"Same-row arithmetic and suffix compilation remain closed. The only live implementation task is the frozen local official-subprocess comparison of production, A42 and A43; 96 bases remains only an economics-defined control host.","A39,A47,A48,M148",No arithmetic-gaming or neighboring compiler research.
Paper contribution,"The strongest synthesis is a two-boundary theory: a certified geometric/static boundary (T22,T29,T30,T37/T27) and an information boundary organized by T28/T33, followed by a normalized falsification map M153–M158. T34–T36 provide finite-width, residual-kernel and control-nullspace methodology.",T22–T37; M153–M158,"Lead with the theorem boundary, then explain oracle capacity versus runtime information without universal impossibility rhetoric."
Reopening gate,"A new branch must introduce genuinely new geometry, runtime information, a transformed residual kernel or finite-width-specific structure. Before any protected replay, freeze estimator class, grouped splits, legal features, exact target/sign, constant baselines, compute and tails. Promotion requires material raw and adjusted gain with eta_J<1/nonlinear margin where applicable.",Master closure report; T33–T36,No universal ~5e-4 gate. No larger dictionary or generic learner over the same observables.
POST-v16 PROJECT CLOSEOUT,,,
Local shipping comparison,"All seven frozen packages ran on the deterministic synthetic contract. A42/A43 were bit-identical; A42 was fastest in this single local run. The official grader, FlopScope and official cohort were absent.",A49,Retain production until an official-environment comparison; local timing is not an official promotion.
Final competition descendants,Fresh exact-mean Stein validation lost; downstream alignment was too small; signed calibration was effectively nonnegative; fresh T4 shrink tied baseline despite oracle headroom.,M159,No tested statistical descendant changes the executable. Research stop is now operationally final.
Proof release,"T22/T23 has complete Decimal and GMP/MPFR numerical reproduction, exact coverage, matching GCC/Clang outputs and sanitizer passes. The local release ZIP and SHA-256 are frozen.","T31,T41","Mathematical numerical work complete. External digest publication, cross-OS CI and named human sign-off remain external gates."
Additional theory,"Finite-width fixed-line optimality, group-invariant observability and residual spectral recertification remain proved. Post-v20 adds the odd-gauge theorem stack, all-rank/CP results, degree280 signed floor, block-trace sharpness, zero-code equality and finite-width subcertificate frontier.",T38–T60,Include with explicit scope. T56/T57 require external interval review; T58/T59 redirect the static gap to realizability.
Project disposition,"The executable remains unchanged. The user-directed non-compute continuation has now closed M164, the frozen A50 four-mode phase construction, named Edgeworth final estimators, and nonlinear basis aggregation. No active statistical candidate remains.",M164–M168; A50–A51,Do not open protected data for descendants of these forms. The only retained constructive target is an explicit observable or identity for the full128 radial center contractions.
POST-v17 FINAL,,,
Late oracle continuation,Authenticated within-network reanalysis now shows effective rank3.680/3.852/4.111 on development/validation/confirmation and4-5 components for90% energy; the five-source learner and cheap invariant phase models still fail.,Updated M160–M162; FINAL_REVIEW_REPORT.md,"No competition candidate, but the source program must be multi-channel rather than scalar."
Quantitative observability program,"The correct layer-space optimizer is a conditional normal equation. Approximate phase flips, binary divergence, mutual information, finite-action and frozen-class certificates now provide theorem routes for declared transcripts.",T42–T43,"The next proof must specify an actual observation map, symmetry/divergence or bounded algorithm class."
Signed arbitrary-node floor,"T57's degree280 block-trace certificate gives a limiting-kernel floor of0.9370459569 times Kerdock risk for any static network-independent mass-one arbitrary-signed rule with at most66,048 nodes.",T57; in-package directed verification; external review pending,Same-cost static signed gain is below1.067184x; equal-cost static signed cubature is essentially closed as a winning route.
Companion frontier and falsifier,M164 completed untouched validation: raw0.900038 but adjusted inverse performance0.939729 and worst1.260358. The branch is closed and the64-network holdout remains sealed.,M164,Remove the prior mandatory-falsifier exception; no partial-MUB statistical branch remains active.
Canonical disposition,Canonical v20 integrates the completed non-compute statistical continuation. v19 is retained as the historical pre-experiment snapshot.,Non-compute continuation report and reproducible bundle,No competition candidate. Retain A51 only as an identity-gated research problem; all tested descendants remain closed.
POST-v18 PROOF COMPLETION,,,
Weighted static signed boundary,T57 supersedes T47/D47 and raises the global limiting-kernel arbitrary-signed floor to93.7046% of Kerdock risk.,T57; external Arb/FLINT audit pending,"At the4.34x gap, even a floor-attaining static rule needs cost<=24.5895% of baseline."
Orientation quotient closure,T48 proves that M153-type sign-quotient features cannot support nonzero representation-consistent signed coefficients.,T48; exact feature audit,Stop generic learning on the same even features. The only principled escape is a canonical orientation-odd observable.
Only concrete phase experiment,"A50 preregisters one bounded orientation-odd experiment, but it may run only on a source basis with independent oracle gain at least1.20x.",A50 specification; no labels opened,"Scientific mechanism path, not standalone winning-scale. M164 remains a one-off contradiction check only."
Winning-scale frontier,"At the recorded approximately4.34x adjusted gap, unchanged-MSE compute must fall below23.04% of baseline. A T57-floor method must use below24.59% of baseline compute.",Canonical v21 Challenge Frontier,"Only radical compute reduction, adaptive/nonlinear finite-width identities or a high-value transformed residual can plausibly move the competition materially."
NON-COMPUTE STATISTICAL CONTINUATION,,,
A50 radial orientation,"Full K32 oracle mean ratio0.425 and rank4 ceiling0.769, but every grouped legal policy was harmful; best1.072.",A50;12 cases,Close four-mode orientation and feature class. Full128-probe interface remains open.
Edgeworth source,"Same-design cross-cumulants improve one-step variance closure20-25x, but recursive/final/downstream forms fail.",M165–M167,Retain only as mechanism evidence; no validation without final-output source ceiling.
Nonlinear basis aggregation,"Development geomed0.973 reversed to1.005 on frozen proxy holdout, with worst1.340.",M168,"Close robust, power-mean, central-subset and nested aggregation in this representation."
Remaining constructive target,Estimate the128 selected center-coordinate and directional contractions required by exact lower recentering.,A51,"Highest-value remaining non-compute question, but requires an identity or new legal observable."
Program disposition,All requested concrete paths have been executed or reconciled; no protected data opened and no executable change.,"M164–M168,A50–A51",Hard stop on generic descendants. Reopen only for a materially new full-contraction observable with a frozen final-output ceiling.
POST-v20 LATEST PROOF FRONTIER,,,
Static arbitrary-signed near-optimality,"T57 certifies R(Q)>=0.9370459569114724 R_K for every static network-independent mass-one rule with at most66,048 arbitrary nodes and real weights in the limiting K32 kernel.",Degree-280 block-trace certificate; directed order-320 interval verification,"Same-cost static signed gain is at most1.067183517x. At a4.34x adjusted gap, even a floor-attaining rule needs cost<=24.5895% of baseline."
Block-trace method exhausted,T58 proves rank plus every individual harmonic block trace is exactly sharp over abstract symmetric matrices for every released profile.,Schur-Horn construction and component-by-component check,Do not spend more effort optimizing only rank/block traces; the remaining static gap is realizability.
Atomic equality boundary,T59 shows an actual floor-attaining atomic rule must have exactly N equal positive weights and pairwise zero comparison-kernel inner products.,Exact evaluation-matrix equality proof,"Next theorem target is a spherical zero-code, idempotence-defect or joint-moment lower bound."
Finite-width compressed target,T60 shows a 90% signed subcertificate requires actual-width coefficient control only through degree128;93% requires194.,Exact truncation frontier,Degree128 noise-stability/Hausdorff-moment transfer is the highest-value actual-width proof.
Within-network repair geometry,Updated authenticated reanalysis gives mean base effective rank3.680/3.852/4.111 on development/validation/confirmation; every base needs4-5 components for90% energy.,FINAL_REVIEW_REPORT.md; authenticated checkpoint arrays,Replace the scalar-bias narrative with a four-channel source program.
Support and coefficient closures,M170 closes the four tested K<=32 support menus at the exact-amplitude capacity level; M171 shows the flexible five-source model reverses the useful global first action.,Archived high-reference support and coefficient analyses,Do not train amplitudes on those supports. Future coefficient work must be constant-first residual learning.
Canonical v21 disposition,"No deployable candidate. Proof work is active on realizability and finite width; constructive work is active only on multi-checkpoint identities, constant-first residuals, exact replay and a materially new residual kernel.",T49-T60; M169-M171; updated M160,Generic descendants remain stopped. No protected data until a source ceiling and theorem-derived protocol are frozen.
POST-v22 BEST-PATH CONTINUATION,,,
Exact contracted target,"T70 proves that a rank-r target-free output source needs only r scalar adjoint-potential discrepancies b=A^T e, not a learned 256-vector defect.",T70,The central missing object is now an absolute estimator for a few scalar band contractions.
No-free-lunch correction,T71 shows the unpartitioned potential is exactly the original output projection plus a linear term already integrated by Kerdock.,T71,Only a band with cheaper or analytic expectation can create value; same-cloud recomputation is a no-op.
Practical source gate,T72 gives the exact optimal score (sqrt(r*)+S)^2. A source ratio0.20 permits only S<0.032802;0.22 permits only S<0.010974.,T72,Replace the fixed0.20-0.22 gate by the per-source margin Smax=sqrt(1/4.34)-sqrt(r*).
Late-interface replay,T73 compiles exact final-layer replay of a common late-center shift into one matrix-vector product plus coordinatewise piecewise-linear maps.,T73; authenticated layer30 oracle ratio0.0252,Compress multi-checkpoint modes at the late interface instead of proving four full deep replays.
Canonical v23 disposition,"No deployable candidate. The best path is a network-covariant late-center rank4/5 source, scalar band-contraction estimators satisfying T72, and exact T73 replay.",T70-T73,"Do not open protected data until r*, each v_j/gamma_j, Smax and the source construction are frozen."
A51 interface warning,"T67 shows that under a natural invertibility condition the full128 interface (Vd,Ed) reconstructs the entire 256-dimensional defect.","A51,T67",Do not generically estimate all128 outputs. Freeze a physical rank4/5 source and derive only its scalar normal-equation contractions A^T e.
Updated constructive priority,"The highest win-seeking path is a covariant four- or five-channel checkpoint source with oracle ratio below0.20-0.22, followed by exact contracted identities and T65-based deep replay.","M160,A51,T65,T67",Stop immediately if source capacity misses the gate; only then consider constant-first residual coefficient learning.
Canonical v22 disposition,"No deployable candidate was produced. The new results close shortcuts and sharpen the innovation target: contracted multi-checkpoint identities first, quantitative realizability second, architecture-specific finite-width transfer third.",T61–T69,"Generic static, support, PCA, all-128 estimation and qualitative transfer descendants remain stopped."
POST-v23 EXHAUSTIVE MATH-CONTINUATION AUDIT,,,
New strongest static floor,T74 raises the static mass-one arbitrary-signed limiting-kernel floor to 0.9370605225569535 R_K; same-cost gain is at most 1.0671669288460727x.,Atomic positive-index theorem plus exact-rational order-320 witness; stored v21 coefficient endpoints.,This is a genuine theorem strengthening but only a 0.0014566 percentage-point increase over T57; static geometry remains far from the 4.34x competition gap.
Mass-one loophole closed,"T75 extends the static theorem to unrestricted total mass: floor 0.9370603033214825 R_K, optimal relaxed mass 0.9999997660391557.",Constant-harmonic penalty plus inertia certificate.,Biased total mass does not reopen the static class.
Sign pattern sharply restricted,"T78 proves a monotone negative-atom tax. At least1,072 negative nodes prevents1.05x gain; at least4,160 makes the rule worse than Kerdock.",Exact-rational sign-count hierarchy on the frozen146-profile/order320 certificate grid.,"Any near-boundary signed rule must use extremely sparse negativity, nontrivial negative mass and unstable cancellation geometry."
Finite-width proof route formalized,T76 gives the exact finite-width chaos-energy state variable and a semi-infinite moment dual. Finite kernel samples alone cannot identify harmonic coefficients.,"Conditional Hermite expansion, Mehler identity, positive monomial-to-Gegenbauer map and nonidentifiability theorem.",Begin at degree62. Qualitative convergence or pointwise closeness cannot support a width256 certificate.
Suffix replay bridge strengthened,T77 proves an independent He Gaussian-ReLU suffix is nonexpansive in expected squared checkpoint-state distance.,Exact arc-cosine identity and iterated conditional expectation.,"The hard constructive questions are target replayability and source legality, not generic ensemble gate amplification."
Reproducibility scope corrected,"The MathContinuation package's rational-witness and theorem scripts pass using package-relative paths, but they reuse stored v21 directed kernel endpoints. Separately, the older BestPathsBeyondV21 aggregate ZIP is not clean-unpack self-contained because of hard-coded paths and missing A51 arrays.",combined_verification_v23.json and direct master-report audit.,Do not call either result an independent regeneration of the theorem-critical interval endpoints; repair the older aggregate release before citing clean-unpack replay.
Canonical v24 disposition,"No deployable estimator. T74 is the strongest static theorem; T76 is the valid actual-width proof program; T77 supports the late-interface constructive route. The best competition path remains a physical rank4/5 late-center source, scalar contractions satisfying T72, and exact T73 replay.",T70-T78; M160; authenticated layer29/30 oracle ratios.,"Stop static tuning and generic learners. Freeze source capacity, contraction variance/cost and legal replay scope before protected data."
NON-OVERLAP CONTINUATION v25,,,
Posterior floor reinterpreted,T79 shows the fixed-support second-chaos floor is 99.9694% observed–hidden cross chaos; pure hidden quadratic energy is only 0.0306%.,T79; independent association reproduction,Do not cite the fixed-support floor as intrinsic irreducible nonlinear noise. It can be escaped by a matched off-support contraction.
Dominant missing scalar,The one-dimensional even-global association sector carries 99.6666% of the cross-score energy. One ideal fixed matched scalar would reduce the retained second-chaos risk to at most about0.001175 R_K.,T79 numerical specialization,"The legal problem is now exact access to one signed innovation scalar, not generic nonlinear decoding or a coefficient vector."
