Claim,Status,Precise assumptions / scope,Best source,Recommended paper wording,Main attack,Required action
Finite-width transfer,CONDITIONAL THEOREM / TARGET OPEN,Uniform kernel perturbation epsilon and l1 weight bound,T34,Near-optimality transfers with an explicit epsilon penalty; no adequate width256 bound is supplied.,Qualitative convergence is insufficient,State finite-width theorem as open unless quantitative bound obtained.
Residual-kernel recertification,PROVED IDENTITY,Frozen analytic-plus-residual transformation with integrable residual second moment,T35,"After transformation, quadrature must be certified for K_res, not assumed from the original kernel.",Candidate-dependent transformations,Freeze protocol and recertify.
Uniform control nullspace,PROVED,Every selected control remains in Q's exactness space and same function enters I and Q,T36,Adaptive global tuning cannot rescue a uniformly annihilated control family.,Node-dependent or mis-radialized fields outside scope,Use only for named exact families.
Arbitrary signed negative-mass stability,PROVED / CONSTANT CERTIFIED,"At most 66,048 consolidated nodes; mass one; beta is Jordan negative mass",T28 / signed audit,"Signed rules obey a beta-dependent lower bound, but it is quantitatively weak.",Misrepresented as global signed closure,Present as limitation/stability lemma.
M146 precision curve,PROVISIONAL / NON-EVIDENCE,Historical reported cohort; source package absent,M146 quarantine,Omit exact numerical headlines; only report that a historical curve was arithmetically consistent if needed.,Missing rows and direction-dependent threshold,Recover exact package or exclude.
M152 scalar corpus,INVALID AS EVIDENCE,No recoverable experiment definition/package,M152 quarantine,Omit all quantitative claims.,Ad hoc reconstruction masquerading as reproduction,"Original package only, otherwise permanent exclusion."
Reopened adaptive paths,FROZEN EMPIRICAL — CLOSED TESTED FORMS,"Specific archived-anchor, Poisson, projected-ReLU and signed-probe protocols",M155–M158,No tested reopened path is submission-safe or winning-scale; signed oracle capacity does not transfer.,Generalizing to all nonlinear/adaptive classes,Report each class and reopening condition separately.
No active statistical path,"RESOURCE DECISION, NOT THEOREM","Current tested information classes, deadline and evidence",Master closure / v16,No active tested branch clears a credible continuation gate; new classes remain open.,Universal impossibility rhetoric,State explicit reopen gate and resource rationale.
Finite-width fixed MUB-line allocation,PROVED UNDER EXPLICIT ENSEMBLE MODEL,Gaussian first layer; fixed union of MUB antipodal lines; arbitrary real static mass-one weights; nondegenerate even Hermite component,T38,"At every finite width/depth in this model, complete bases plus at most one partial basis optimize the fixed line universe.",Confusion with arbitrary-node finite-width T22,State fixed-support scope beside theorem.
Group-invariant observability,PROVED UNDER EXPLICIT SYMMETRY MODEL,Measure-preserving group action; runtime observation invariant; equivariant error,T39,Runtime information can recover only the invariant error component; orientation-blind value is zero under exact sign symmetry.,Actual WHestBench symmetry not proved,Present as conditional theorem and empirical audit target.
Equivariant residual recertification,PROVED IDENTITY,Isotropic random field and deterministic bounded rotation-equivariant linear surrogate,T40,Residual harmonic variance is |1-tau_l|²q_l and live degrees must be recertified.,Arbitrary network-dependent nonlinear surrogates outside scope,Keep as constructive methodology.
Dual-engine proof reproduction,VERIFIED / COMPILER-DIVERSE,"Same mathematical derivation, independent GMP/MPFR directed-rounding implementation",T41,Every theorem-critical numerical component is independently regenerated by two arithmetic stacks.,Not proof assistant or cross-OS human verification,Publish digest and obtain named review.
Downstream-weighted runtime correction,PROVED,Square-integrable layer correction; random PSD downstream score; declared runtime sigma-field,T42,The optimal layer correction solves a conditional normal equation; E[A|G] is a specialization when the downstream operator is observable.,Confusing score-space T33 with hidden-J layer-space optimization,Use T42 formula and state information/action class.
Quantitative phase observability,PROVED / APPLICATION OPEN,"Declared transcript plus exact/approximate involution, finite phase or finite action experiment",T43,Transcript-preserving phase defects and phase-conditioned divergences upper-bound recoverable oracle value for the declared class.,Treating failed classifiers as mutual-information bounds,"Require an actual symmetry, KL/TV bound or uniform class certificate."
Positive-definite optimized residual,COMPUTER-ASSISTED / SECOND STACK PENDING,d256 limiting K32 and named T16 optimizer,T44,K32-h* has nonnegative Gegenbauer coefficients in every degree.,Inferring positive-weight signed near-optimality,Independent coefficient-enclosure audit; keep limitation adjacent.
Simple arbitrary-signed-node rank floor,PROVED / SUPERSEDED NUMERICALLY,"Infinite-width K32;<=66,048 arbitrary nodes; arbitrary real mass-one weights",T45/T47,The simple rank and degree15 weighted floors are valid proof-history results; T57 is the current strongest numerical theorem.,Calling an earlier floor the current frontier,Retain only in theorem genealogy; use T57 for headline scope and competition implications.
Exchangeable companion frontier,PROVED UNDER EXPLICIT MOMENT MODEL,Exchangeable deterministic sources; fixed second moments; linear compute accounting,T46/M163,Equal coefficients are optimal for fixed total scale and the exact raw/adjusted frontier follows; the frozen confirmation source is score-negative.,Generalizing to adaptive orientation-sensitive coefficients or population moments,Separate theorem from frozen moment certificate and unresolved M164 falsifier.
Historical weighted arbitrary-signed floor,PROVED / SUPERSEDED NUMERICALLY,"Infinite-width K32;<=66,048 arbitrary nodes; arbitrary real mass-one static weights",T47,The degree15 floor0.5051771255 R_K is valid but superseded by T56/D47 and T57.,Using1.9795x as the current cap,Move to proof-history table and cite T57 as strongest specialization.
Gauge-invariant coefficient obstruction,PROVED FOR DECLARED REPRESENTATION,Correction transcript is invariant under full sign gauge; coefficient policy is representation-consistent and sign-equivariant,T48,Orientation-blind quotient features cannot produce nonzero signed coefficients; a legal escape must add a canonical orientation-odd observable.,Confusing representation impossibility with estimator impossibility,Apply only to literal audited features and name the orientation-sensitive escape class.
Minimal orientation-odd information,PROVED FOR DECLARED GAUGE,Global Z2 or independent (Z2)^m coefficient representation,T49,One odd scalar escapes one shared-sign quotient; independent signs require a full-rank set of odd characters.,Algebraic escape mistaken for predictive value,State the gauge group and keep statistical usefulness separate.
No global stable sign gauge,PROVED,Unoriented lines in dimension>=2,T50/T54,No continuous global orientation section exists; pivot rules are only local and can jump at ties.,Measurable deterministic gauges still exist,Require explicit degeneracy margins and abstention.
Polar reference gauge and stability,PROVED,Legal non-co-rotating rank-k reference with nonsingular cross-Gram,T51/T52,Block polar alignment is canonical and its perturbation is controlled by the cross-Gram smallest singular value.,Reference can be circular or statistically irrelevant,"Apply non-co-rotation, rank and physical-margin tests."
Phase-error score transfer,PROVED,Frozen source span and physical final-output Gram geometry,T53,Approximate correction risk equals oracle risk plus physical source-space error; wrong signs cost four improvement units.,Ordinary sign accuracy or coefficient Euclidean error,Use improvement-weighted metrics and exact replay.
Degree-47 proof-class ceiling,COMPUTER-ASSISTED / REVIEW PENDING,Degree<=47 completely-positive mixtures of squared zonal kernels,T55/T56,D47 is near-optimal inside the declared proof architecture and the 1.10 target is impossible there.,Proof-method ceiling confused with cubature lower bound,Retain as method-boundary context only.
Historical degree-280 block-trace floor,COMPUTER-ASSISTED / SUPERSEDED NUMERICALLY,"Infinite-width K32;<=66,048 arbitrary nodes; real mass-one static weights",T57,Every rule in scope has risk at least0.9370459569 of Kerdock; T74 now gives the stronger0.9370605226 atomic-inertia floor.,Using T57 as the current headline or extending to finite-width/adaptive estimators,Retain as the abstract block-trace predecessor and certificate genealogy.
Block-trace sharpness and zero-code equality,PROVED,Released weighted comparison profiles; full active-node rank for atomic equality,T58/T59,Rank and individual block traces are exhausted abstractly; real equality requires a uniform positive zero code.,Abstract optimizer mistaken for realizable quadrature,Use as the launch point for joint moment realizability.
Finite-width subcertificate frontier,PROVED COROLLARY / APPLICATION OPEN,Truncations of the released signed witness,T60,A90% structural floor needs actual-width coefficients only through degree128.,Assuming coefficient control or denominator bound,Build a noise-stability moment certificate before any actual-width claim.
Simultaneous block-trace sharpness,PROVED,Shared abstract harmonic block system for all nonnegative profiles,T61,One profile-independent block construction attains every rank/block-trace floor after rescaling.,Claiming joint rank/trace coupling strengthens T58,State that only spherical evaluation identities remain.
Strict atomic nonattainment and bounded-TV gap,PROVED / NONCONSTRUCTIVE CONSTANT,Released degree280 witness; bounded total variation for compactness,T62/T63,No atomic rule attains the floor; every bounded-TV class has a positive strict gap.,Reporting a stronger universal numerical floor,Use as structural motivation for quantitative realizability.
Conditioned two-profile stability,PROVED UNDER EXPLICIT CONDITIONING,Active weights and evaluation singular values bounded below,T64,Near equality for two incompatible profiles forces weight or geometry degeneracy.,Applying the conservative constant as competition-sized,Use to identify the only possible near-attaining pathologies.
Exact Gaussian ReLU crossing moments,PROVED,Prefix-measurable perturbation and independent Gaussian suffix row,T65,Local crossing-remainder moments are exact angular functions with cubic small-angle behavior.,Extending directly to full realized-network replay,Use as the local lemma inside a deep composition theorem.
Finite-width coefficient monotonicity no-go,PROVED COUNTEREXAMPLE,Gaussian ReLU width one versus infinite width depth two,T66,Finite-width coefficients need not dominate limiting coefficients.,Using positivity or convergence as one-sided transfer,Require width256-specific quantitative bounds.
Conditional A51 full-interface equivalence,PROVED CONDITIONALLY,Distinct selected coordinates and invertible V_{I^c},T67,The natural full128 interface can encode the entire256-dimensional defect.,Calling all128 estimation a compression without rank audit,Target only final-output-contracted physical channels.
Degree123 signed floor and CP window,COMPUTER-ASSISTED / EXTERNAL REVIEW PENDING,Infinite-width K32; degree<=123 CP comparison class,T68/T69,D123 proves a0.909436 risk floor and1.099582 gain cap; its method ceiling is0.944933.,Calling the CP ceiling a risk floor or superseding T57,Present as lower-degree1.10 barrier and method-boundary result.
Adjoint-potential contraction identity,PROVED / HOSTILE REVIEW PENDING,Bias-free ReLU network; P and Q agree on linear coordinates,T70,Every target-free output contraction equals one scalar network-dependent potential discrepancy; A^T e needs r scalars.,Claiming the identity itself estimates the scalar,Pair with T71 and an absolute band estimator.
Banded potential and total-potential no-op,PROVED / HOSTILE REVIEW PENDING,Any depth partition; same cubature functional,T71,"Band discrepancies sum exactly, while the total potential is output plus an exactly integrated linear term.",Presenting same-cloud potential evaluation as new information,Use only bands with genuinely cheaper or analytic expectations.
Source-noise-compute frontier,PROVED UNDER DECLARED SAMPLING MODEL,Whitened source; independent unbiased sample means; MSE-times-compute score,T72,Optimal adjusted ratio is (sqrt(r*)+sum sqrt(v gamma))^2.,Using0.20-0.22 as a universal practical source gate,Report the full square-root margin and all estimator assumptions.
Compiled final-layer checkpoint replay,PROVED / CODE AUDIT PENDING,Common shift at the last hidden activation cloud followed by one ReLU layer,T73,Exact replay is a coordinatewise piecewise-linear map g(Wdelta) with explicit crossing remainder.,Applying to earlier checkpoints or mismatched architecture indexing,Verify against the production replay code and use for late-interface sources.
Inertia-strengthened arbitrary-signed floor,COMPUTER-ASSISTED / EXTERNAL INTERVAL REVIEW PENDING,"Infinite-width K32;<=66,048 arbitrary nodes; real mass-one static weights",T74,Actual atomic positive inertia raises the floor to0.9370605226 R_K and caps same-cost gain at1.067166929x.,Finite-width/adaptive/nonlinear extrapolation or claiming independent endpoint regeneration,Use as the canonical strongest static floor and preserve the v21 interval dependency.
Arbitrary-total-mass static floor,PROVED SPECIALIZATION / EXTERNAL INTERVAL REVIEW PENDING,Same static class without mass-one assumption,T75,Constant-mode optimization gives0.9370603033 R_K and minimizing mass0.9999997660.,Treating biased mass as an adaptive/nonlinear result,Use to close the static free-mass loophole.
Finite-width chaos-moment dual,PROVED FORMULATION / APPLICATION OPEN,Every finite width; Gaussian first layer; dependent downstream network allowed,T76,The finite-width kernel is a nonnegative chaos moment sequence; harmonic bounds require a moment LP and infinite-tail dual.,"Inferring coefficients from finite samples, pointwise closeness or qualitative convergence",Begin with a degree62 width256 certificate.
Independent Gaussian suffix nonexpansivity,PROVED ENSEMBLE THEOREM / APPLICATION OPEN,Prefix-measurable states and independent equal-width He Gaussian-ReLU suffix,T77,Expected squared checkpoint-state distance cannot increase through the suffix.,"Fixed-network guarantee, suffix-dependent source or unreplayable target",Use only after a replayability and independence certificate.
Negative-atom count hierarchy,COMPUTER-ASSISTED / EXTERNAL INTERVAL REVIEW PENDING,Static mass-one rules with a declared minimum count of negative weights,T78,"At least1,072 negative atoms rules out1.05x gain; at least4,160 makes risk exceed Kerdock.",Confusing count with total negative mass or existence of an optimizer,Combine with mass and realizability constraints to describe the near-boundary corner.
Posterior-score matched scalar contraction,PROVED ABSTRACTLY / NUMERICAL SPECIALIZATION REVIEW PENDING,Gaussian second-chaos target after complete fixed Kerdock preactivation transcript,T79,The posterior residual is 99.9694% observed–hidden cross chaos; one matched scalar removes the cross term. The even-global sector contains99.6666% of cross energy.,"Calling the scalar cheap, applying to arbitrary finite-width hidden transcripts, or treating fixed-support floor as irreducible",Use to define the exact signed innovation target and explain lower-order pair anchors.
CLAF physical source-span gate,PROVED / ARRAY APPLICATION OPEN,Common-linear-combination fan using sampled late-source states and final matrix W31,T80,"The exact fan ceiling is a final-output Gram projection; frozen s=9,M=64 requires <=0.00502 source-span residual.","Claiming input rank2 limits output rank, or implementing/fitting before oracle span",Run the union-span oracle first; failure closes the fan.
Two-plane posterior-score diagnostic,DIAGNOSTIC / SCOPED,Limiting depth31 preactivation Gaussian model; exact 64-ray observations on representative Kerdock planes,M172,Representative planes capture only about6.4e-5 of the dominant global score direction.,Generalizing to transported finite-width CLAF source,Use only as a strong falsifier motivating T80.
