Split / IDs,Environment,Known uses,Contamination status,Allowed future use,Notes
Partial-MUB train/calibration/validation 12/4/8,Actual-width synthetic,M127 chirp17_r3 package selection and frozen validation,All exposed after report,Historical mechanism only,Validation N=8 is genuine but too small and tail-unsafe.
Legal-anchor continuation IDs4000–4262,Sandbox width256,M125 analytic/source/pilot continuation,Exposed,Training/diagnostics only,Repeated selection-to-holdout reversals.
Path5 codebook training70000–70127 / holdout71000–71031,Exact-geometry synthetic,C66 joint codebook/selector campaign,Training block opening; holdout sealed,Training for C66; sealed holdout only after freeze,Do not inspect71000–71031 until all selector choices are frozen.
Layer8 legal scalar-rescue panel:16 bases × rotations3/11/97,Sandbox width256,M116 gate-transfer audit and M126 Path4 closure,Exposed terminal,Historical only,All six l08 flags were redundant with zero-scale decisions; no future tuning.
Direct pair-moment full-companion-center N=24 block,Sandbox width256,M130 independent-versus-primary pair ablation,Exposed; overlap with M119 must be verified from manifest,Historical mechanism only,Do not reuse as fresh validation until exact IDs and overlap are reconciled.
Fixed112 package early-stop block,Sandbox width256 compatibility execution,M131 preregistered fixed112 scalar package,Opened5 base networks; remaining planned IDs unopened,Opened rows historical only; unopened IDs remain reserved under original manifest,Hard stop triggered at worst1.578572; preserve unopened status.
Partial-MUB paired-safety32-base study,Synthetic width256,M132 immutable paired-safety closure,All development/calibration/validation exposed after report,Historical only,16/8/8 bases×3 rotations; no retuning or reuse.
Orientation codebook confirmation8 bases×3,Synthetic width256,M134 selector closure and oracle labels,Exposed validation,Mechanism labels only,No legal selector transfer; preserve oracle labels.
Nested uncertainty bases5000–5017×3,Synthetic width256,M135 nested convergence closure,All exposed,Historical only,Validation50013–5017; smooth wrong-bias conclusion.
Orthogonalized center Direct32 N=24,Synthetic width256,M136 center-control development,Exposed/post-hoc,Development only,Same direct32 block; no promotion claim.
Analytic-companion sequential16 + rotation audit12×2,Synthetic width256,M137 blend closure,Exposed after frozen evaluations,Historical only,"Sequential frozen, not one-shot immutable16."
Path5 train128×3 and validation32×3,Exact geometry synthetic,C67 terminal selector closure,Training/validation exposed; terminal65400+ unopened,Historical only; terminal remains sealed,Official/Mini protected holdouts unopened.
Official Phase1 Mini-100 final_means,Official exposed benchmark,"A46,M141–M145 local exact screens",Exposed benchmark,Development/benchmark only,Never call this a new holdout; preserve strict local holdout separately.
Prompt-7 frozen test indices 50–81,Synthetic width256/depth32,A48/T0 basis-count and packaging economics,Exposed historical; opened once; archived weights are float16,Packaging/economics regression only; never fresh validation,"16 base networks x 2 grouped rotations with direct high-reference baseline-error vectors. No model, selector or threshold tuning."
Anchor precision audit N=60,Exact all-layer width256,M146 layerwise error and tolerance curve,Exposed transcript result; exact IDs/perturbation manifest missing,Mechanism only pending archive,Do not cite final numbers until perturbation directions and target streams are stored.
T4 literal rotations6000–6015,Synthetic width256,M147 exhaustive T4 closure,Development exposed; calibration6016–6023 and validation6024–6031 unopened,Historical development only,All rotations3/11/97 grouped by base.
Claimed scalar corpus1100 + Mini100,Exact-label width256 / official exposed Mini,M152 scalar predictability,Unknown until artifact recovery; Mini100 exposed,Provisional only,"Require exact IDs, grouped folds, feature selection chronology and target definition."
Proof/certificate artifacts,Deterministic theorem package,T22/T23/T27/T28,No statistical split,Proof evidence,Track source hashes and trust base rather than train/test status.
ReopenedPaths fit seeds 3000–3003,Synthetic width256/depth32,"Fit coefficients, ridge and initial scalar shrink only",Exposed / development,Development only,Four base networks; no protected cohort opened.
ReopenedPaths exploratory seeds 3004–3019,Synthetic width256/depth32,Select whether a descendant deserved terminal evaluation,Exposed / selection,Exploratory selection only,Sixteen base networks; all rotations grouped by base network.
ReopenedPaths terminal seeds 3020–3035,Synthetic width256/depth32,Frozen Poisson and projected-ReLU terminal tests,Exposed after terminal use,Historical frozen evidence only,Preregistration hash a760d61708c917cbc2d0346168bed3e034be232744f9d4bbd7bacbb8a0156190.
ReopenedPaths extension seeds 3036–3067,Synthetic width256/depth32,No-refit projected-ReLU extension and signed-probe validation,Exposed after frozen extension,Historical frozen evidence only,Extension preregistration hash e5e093f74069425f943233c44fed27664b34224c91e7f47101efb8d90f4c8885.
"Archived anchor groups dev 0–15; calibration 16–23; external 100–107, 200–203, 300–307, 400–407",Archived exposed companion records,Fit one global scalar on dev; external downstream rescoring,Exposed archive,Diagnostic/reanalysis only,Higher-reference truth used where present; not a fresh holdout.
Agent6 anisotropic threshold audit,Synthetic operators and exact-ReLU simulations,Refute universal Euclidean anchor threshold wording,Exposed synthetic diagnostic,Theory stress test only,60 anisotropic linear operators and 30 exact-ReLU simulations; not an ARC cohort.
A50 radial orientation development,Fresh width256 networks7200-7203; rotations3/11/97,Grouped leave-one-network-out only,Development exposed after analysis,Development failure,No validation or protected cohort opened; source and policy chronology recorded in continuation bundle.
Edgeworth radial-center pilot,Networks7300-7302; literal rotations,Analytic center screen,Development only,Exploratory weak signal,Five completed cases; median reference-noise fraction17.8%.
Nonlinear basis aggregation development,Networks7400-7407; rotations3/11/97,Select one frozen robust source,Development cross-rotation proxy,Development only,Geometric median selected; not a truth-stream validation.
Nonlinear basis aggregation holdout,Networks7408-7411; rotations3/11/97,Frozen geomed alpha0.7773602545,Frozen cross-rotation proxy holdout,Holdout failure,No protected or official cohort; proxy target is average of other rotations.
