Opposite results / tension,Synthesis,Best future experiment,Hard gate,Evidence caution
Fresh direct-output exact anchor passes vs layer31 radial-Hermite residual fails,"The radial-Hermite family transfers when used as a direct final-output control with exact lower-order anchors, but not when promoted to a surrogate for the complete layer31 mean. Target formulation is decisive.",Keep the frozen direct-output objective. Estimate only its selected lower-order anchor contractions and judge end-to-end final output; do not reopen g31 regression.,"Legal anchor candidate/base<=0.595 for70% retention, preferably<=0.537; positive adjusted score and safe tails on fresh networks.",Direct oracle is fresh synthetic N=24 and nondeployable; layer31 residual closure remains valid.
Oracle and cross-fitted coefficients agree almost perfectly vs residual control is harmful,"Coefficient selection is not the bottleneck. The failure lies in E[g] estimation and, more deeply, mismatch between population-regression features and the transferable Kerdock-hard layer31 defect.",Future surrogates must first show transferable residual correlation with the signed layer31 defect and have analytic/cheap expectation before coefficient tuning.,Oracle/deployable coefficient cosine is insufficient; complete frozen replay must improve and expectation cost must be score-positive.,High-sample Monte Carlo anchors are diagnostic only and still failed after variance reduction.
FGSF has positive phase correlation and rescues harmful V80 vs adjusted score is worse,A weak marginal statistic can act as continuous suppression without containing enough signed information to pay its own cost. Safety gating and useful phase estimation are different objectives.,Only test a non-marginal cross-output or adjoint-weighted statistic that is already exposed by shared prefix/suffix arithmetic; measure incremental value beyond suppression.,True incremental compute<=1%; adjusted candidate/base upper CI<1 on>=50 fresh networks; correction cosine and sign accuracy materially above chance.,"FGSF is a frozen N=50 result and strongly closes this exact marginal family, not all possible shared-arithmetic phase information."
Exact checkpoint + candidate sources gives0.526 vs legal inherited/full-depth candidates are neutral or harmful,"The candidate source recurrence contains substantial useful signal when the absolute checkpoint state is exact. The dominant failure is the inherited absolute joint state and cancellation precision, not the adjoint identity.","Treat a much more accurate absolute checkpoint as a supervised/analytic target. Before full replay, measure componentwise signed error under downstream cancellation, not overall cosine or 2% relative anchor error.",Pre-run projection must imply complete candidate/base<=0.4568 below14B; checkpoint error must be far below the tested2.11% median and pass composed-control ablation.,"The 0.526 arm is oracle-checkpoint evidence on exposed N=8, not a deployable near-win."
Coordinate support is stable across rotations vs captured oracle benefit changes by 14–15 points,"The selected neurons are consistently downstream-important, but the Kerdock defect energy assigned to them is phase/rotation dependent. A fixed sparse coordinate set is not a sufficient rotation-invariant representation.","Use a rotation-aware low-rank subspace, basis-conditioned coefficients, or a direct-output target. Do not test more scalar rankings of the same coordinates.",Before amplitude work: K<=32 or rank<=16 exact-amplitude oracle must capture >=50% on every allowed rotation with >=75% wins and safe tails.,"N=8 architecture-matched synthetic evidence closes the four tested selectors, not all possible rotation-aware layer31 models."
Complete radial-Hermite anchor is strong vs connected-only is neutral,"Despite earlier connected-cubic oracle evidence in other controls, this frozen direct-output construction derives essentially all transferable gain from absolute means and pair moments. Omitting pair moments is catastrophic, while adding connected c21 does not improve lower-only.",Build the legal estimator around the 128 lower-order contractions. Include connected c21 only when its incremental cost is negligible and a frozen ablation proves value.,Lower-order estimator must retain>=70% of the0.4215 oracle reduction below14B; rank16 compression remains blocked at70.54% energy.,This conclusion is construction-specific and does not erase M85/rank4 c21 mechanism evidence elsewhere.
Observable sample-row probes work with oracle anchors vs observable sample anchor is neutral,Probe selection and regression are not the bottleneck. The unavailable absolute anchor carries nearly the entire benefit; using the protected sample cloud as its own anchor recreates the baseline.,Separate feature/probe construction from anchor estimation. Evaluate analytic or learned anchor sources with oracle coefficients frozen before any coefficient retuning.,Sample-anchor null approximately1.0002; legal anchor must improve complete final-output MSE and pass compute/tail gates.,"The exact anchor used262,144 oracle trajectories, so its strong result is mechanism evidence only."
Compiler proxy0.97865 vs production score ratios1.028–1.042,"The proxy compared against an older assembly-free cost structure. The production partial-tree baseline already internalizes those savings, so packing and symbolic composition turn the compiler into a net cost.",No further proxy calibration. Only current-package paired measurements can approve arithmetic changes.,Mean adjusted candidate/base<1 on all100 Mini networks with measured FLOPs/wall and safe tails.,adaptive_2_6 was still pending; two_layer and fixed_three are decisively rejected.
Universal alpha0.40 averages0.729 vs oracle K32/K128 reach0.403/0.322,"The observable low-dimensional channel is real, but a universal scale loses most of the oracle benefit and creates a stable harmful tail. Support capacity and signed amplitude estimation are separate.",Predict network-specific sign/scale and no-headroom confidence for frozen K32 anchors; do not tune another global alpha.,Legal candidate<=0.595 with safe worst tail and rotation-aware abstention.,M111 N=16 closes the universal-alpha form; M112 N=24 preserves the oracle mechanism.
Layer31 replay and direct final-output control are numerically tied,"Residualization does not provide robustness in the tested oracle-anchor regime, while replay costs an extra8.657B FLOPs.",Use direct final-output control as the default scoring path. Reopen replay only if a legal anchor produces a measured tail benefit larger than its compute penalty.,Replay must improve adjusted score and hard-rotation tails beyond direct control.,Oracle-anchor comparison; not yet a legal runtime result.
Exact K32 fixed0.50 is uniformly safe vs approximate template signs change across rotations,The exact correction direction is stable and mainly over-scaled; approximate templates can reverse orientation because they miss the absolute offset.,"Evaluate anchor-source direction first, then fixed0.50. Do not train sign models against a moving approximate template.",Legal direction must show positive cosine and fixed0.50 complete ratio<=0.595 with safe tails.,Exact-direction and template-scale targets are not interchangeable.
Pair omission is catastrophic vs independent pairs are redundant,"Pair terms are algebraically necessary because they modulate the center defect, but the primary Kerdock cloud already estimates their scalar contractions accurately enough. Omitting them is not the same as replacing exact pairs with primary pairs.","Freeze primary s_p,t_p and test only external d_i,v_p^T d estimators.","Any independent pair source must beat the paired-difference CI[-0.000390,+0.000366] in complete output loss and justify its compute.",This conclusion is specific to the lower-only center formula and current primary design.
Micro-cubature small screen0.594 vs fresh oracle-center0.869,Small noisy screens selected a suffix model whose coherent distribution bias remained even with perfect centering.,Require fresh oracle-state confirmation before any deployable-center work.,"Oracle-state ratio<=0.595,worst<=1.10 on>=24 fresh networks.",Center accuracy alone cannot rescue a misspecified suffix family.
Complete companions converge slowly vs partial-MUB replacement has positive economics,Unbiased complete angular means spend too much on dimensions irrelevant to the anchor. Coherent partial basis replacement targets the design defect more efficiently.,Use one coherent partial-MUB family and a tiny paired difference for safety; do not average many full rotations.,"Raw<=0.95,adjusted<1,worst<=1.10 with<=4 safety bases.",Partial-MUB validation is only8 networks and has1.482 tail.
Partial-MUB average adjusted≈0.935 vs only4/8 wins,"The mean signal is strong but phase is wrong on a minority. The remaining problem is a target-free tail certificate, not more average shrinkage.",Calibrate a simple absolute-versus-paired correction agreement rule on new grouped data.,Catch>=75% severe tails; false suppression<=20%; preserve adjusted gain.,Do not tune thresholds on the8-network validation.
Support libraries cover every network vs all selectors fail,Offline codebook coverage is easy relative to predicting network-specific global cancellation. The final C67 campaign confirmed that legal selectors and bounded weights do not recover the oracle library.,No further support-library or selector campaign. Preserve codebooks and oracle labels for analysis only.,Any reopening requires a fundamentally new observable that predicts both support identity and bounded calibration on a fresh grouped cohort.,C67 is terminal evidence for the tested Path5 family; do not treat oracle coverage as deployable progress.
Fixed112 adjusted0.896 vs hard-stop failure,"Reduced propagation lowers adjusted mean, but the scalar estimator's phase errors are catastrophic. The former partial-MUB alternative has also failed immutable safety transfer.",Do not optimize either reduced scalar package or tested partial-MUB safety. Validate any genuinely new anchor at 129 before allocation reduction.,"Worst<=1.15, hard stop1.25, and any guard must catch harmful cases.",No live112+17 branch remains; 96 is only an economics-defined control host.
Partial-MUB has positive average economics vs immutable package is harmful,The earlier small block and proxy were selection-sensitive. A larger grouped frozen study exposed rotation-specific phase/scale failures and paired probes had weak recall.,Close tested partial-MUB safety and preserve only mechanism evidence.,"Any reopening requires a new absolute-phase observable, not more amplitude/gating.",The repair channel itself remains large.
Exact Edgeworth-4 floor is winning-scale vs B2 is closed,"The formula works with exact moments, but same-cloud estimates do not reduce the binding final-preactivation mean error; ReLU is almost linear in this regime.",Keep the formula as an oracle diagnostic and search only for independent moment information.,"A new estimator must beat empirical mean on complete final MSE, not marginal formula bias.",No contradiction once moment estimation and closure bias are separated.
Oracle orientation/support codebooks are excellent vs codebook paths are closed,Best-of-codebook answers use target-dependent identity and network-specific bounded weights. The legal information tested cannot recover either.,Preserve oracle labels but stop runtime selector work.,Reopen only with a fundamentally new phase/calibration observable.,More supports do not solve observability.
Reduced point count appears cheaper vs full basis count has better score,"For this deterministic family MSE falls faster than1/N, so effective score still improves with more points despite greater compute.",Keep128/129 basis statistical baseline.,"A reduced package must change the estimator, not merely truncate rows.",Local result uses exposed Mini; official packaging still needs cost validation.
Strong local exact Mini harness vs risk of overfitting,"Ground-truth final_means eliminate reference noise and make mechanism screens precise, but the100 networks are exposed benchmark data.",Use for development and exact regression testing only; retain strict holdouts and official submissions.,No model/threshold may treat Mini-100 as immutable validation.,Persist code and split labels.
Partial bases lose badly in raw MSE but 96 bases is near adjusted parity,"There is no statistical contradiction: truncating Kerdock worsens the estimator, while lower row cost partly offsets the loss. This creates a possible control-host frontier, not a standalone estimator improvement.",Run the frozen seven-arm local official-subprocess suite and combine 96 bases only with a pre-specified control that already has sufficient raw gain.,129 must remain the standalone winner. A 96-base control package must clear its measured official complete-cost hurdle and safe-tail gate.,The Prompt-7 block is exposed historical synthetic data with float16 archived weights; it prices economics but is not fresh validation.
Reported large exact-anchor curve vs current anchor research stop,"A historical curve suggests a large oracle repair channel, but its source package is missing and its scalar threshold is not invariant. Independently traced T4 and reopened-path evidence still closes the tested runtime information classes.",Recover M146 only with exact cohort/directions/replay manifest; otherwise use downstream-weighted structured-direction tests.,"eta_J<1 with exact nonlinear improvement, safe tails and complete cost on fresh grouped data.",Do not cite 41.2x or ~5e-4 as verified; oracle repairability is not runtime observability.
Three obstruction faces vs one theorem,"The failures share an information-alignment theme, but their mathematical statuses differ.","Present one conceptual framework with separate theorem, empirical and learning-evidence subsections.",Every claimed implication carries explicit assumptions.,Do not infer universal unlearnability or analytic-control impossibility.
Analytic expectation vs harmonic simplicity,Known expectation does not imply low harmonic degree.,Prove annihilation only for explicitly defined polynomial/Hermite/Stein classes; report degree6+ failures empirically.,Class definition and exact algebra must precede closure claim.,High-degree analytically integrable controls remain logically possible.
M152 definitive failure vs unarchived result,"The reported scalar experiment is plausible and consistent with M76, but currently cannot be reproduced.",Treat it as provisional and assign competing reproduction and leakage-audit agents.,"Exact rows, target, split, features, predictions and hashes required.",Exposed Mini cannot be treated as immutable validation.
T22/T27 strength vs signed/adaptive loopholes,Two strong theorems cover complementary but nonidentical classes.,Use a theorem-scope table and signed-mass stability proposition; retain finite-width/adaptive exclusions.,No phrase such as 'all linear rules' without qualifiers.,A counterexample outside the Kerdock line universe would clarify the boundary.
Static linear near-optimality vs nonlinear counterexample,T22/T29 constrain linear classes; post-ReLU nonlinear algorithms are outside them and can outperform linear averaging on explicit families.,Propose only precisely restricted nonlinear families with frozen information and exact replay.,Must beat baseline on fresh grouped data with safe tails and full cost.,Do not infer nonlinear impossibility from kernel quadrature.
T16 certificate optimum vs true cubature optimum,"T30 proves no higher harmonic can improve the auxiliary certificate, but the best auxiliary lower bound may still lie below the true cubature infimum.","Search for a matching primal cubature only as mathematics, not competition optimization.",Any exact-optimality claim needs a matching admissible cubature or stronger duality theorem.,Keep 'certificate optimality' distinct from 'Kerdock optimality'.
Signed oracle 0.131 vs frozen global 1.557,"Feature capacity exists, but network-specific signed phase is not transferable through the tested global representation.",Only an analytic or independently observable per-network coefficient mechanism justifies reopening.,"Positive grouped transfer, safe worst case, complete cost.","Oracle coefficients are labels, not runtime information."
Projected-ReLU 0.927 terminal vs 1.013 extension,Small terminal panels can concentrate gains in difficult networks and reverse under no-refit extension.,Require larger preregistered extension before promotion.,"Raw<0.95 with grouped interval, safe tails and adjusted<1.",The 48-network extension is canonical.
Poisson 0.929 exploratory vs 1.038 terminal,Post-hoc family selection overstates transfer.,Freeze descendants before terminal data and report selection chronology.,Terminal result must pass without refit.,Analytic integrability does not guarantee transfer.
Reported ~5e-4 cliff vs direction-dependent gate,Euclidean anchor error is not invariant under anisotropic downstream replay or ReLU crossings.,"Measure eta_J, exact replay, kink mass and nonlinear remainder for frozen structured directions.","eta_J<1 with nonlinear margin, safe tails and cost.",M146 source package is missing; scalar number is provisional.
All reopened paths closed vs broad adaptive classes open,"The campaign decisively closes four new tested families but cannot rule out all nonlinear, signed, adaptive or finite-width-specific methods.",Reopen only with genuinely new geometry/information/residual structure and a preregistered standalone gate.,No more larger dictionaries or generic regressors over the same observables.,Operational stop is stronger than before; universal theorem is weaker than previously claimed.
A42 fastest locally vs production retained,"One synthetic subprocess run favors A42 wall time, but official score depends on unavailable grader/effective-cost and raw parity.",Run the frozen packages in the official environment without retuning.,"Output parity, complete effective cost and raw MSE must pass.",Do not turn a local smoke benchmark into an official promotion.
Dual-engine proof complete vs human review pending,"Independent arithmetic stacks remove implementation monoculture, but both implement a shared mathematical derivation.",Named mathematician audits theorem logic and T16 primal–dual steps.,Signed review plus rerun of independent paths.,Computer-assisted certification is not human peer review.
Oracle span 1.168x vs frozen shrink 1.0001,The correction space carries target-labeled value but tested runtime features cannot determine its signed phase.,Only a genuinely new noninvariant runtime observable warrants reopening.,Fresh grouped >=1.3x raw or adjusted win with safe tails.,"This closes the tested information class, not all adaptive corrections."
Internal project closure vs open mathematics,"The executable search and paper proof core are done, while arbitrary-node finite-width and broad adaptive classes remain open.",Treat them as future research rather than publication blockers.,No scope leakage into current claims.,"Stopping is a resource/evidence decision, not universal impossibility."
Blanket sampled-pilot closure vs untested 24-basis falsifier,"Most partial-MUB safety/selector descendants are closed, but one post-hoc rank-24 configuration showed an exposed adjusted gain and has not received untouched validation.",Freeze z=0.5/shrink0.125 exactly and run the untouched 24-network validation.,"No promotion without frozen grouped gain, safe tails and measured economics; no blanket impossibility claim before test.",The exposed 8/8 result is selection-biased and is not evidence of a winner.
Arbitrary signed rules open vs global nonzero risk floor,"Signed near-optimality remains open, but T45 rules out zero or arbitrarily small limiting-kernel risk for <=66,048-node mass-one static rules.",Independent second-stack verification and stronger moment-rank comparisons.,Reproduce 1.7011781e-8 floor and preserve infinite-width/static scope.,"At-most-14.3058x is a loose ceiling, not a competition prediction."
E[A|Z] layer correction vs hidden downstream operator,"T33 is correct in score space. In layer space, if J is not runtime-observable, the Bayes correction is Sigma_G^dagger mu_G rather than generally E[A|Z].",Specify the exact transcript and whether J or sufficient normal-equation statistics are available.,All observability ratios must use the correct scored action class.,Do not silently transfer an unweighted conditional mean through a random hidden anisotropic replay.
Static arbitrary-signed path open vs T57 competition ceiling,"Signed exact optimality remains open, but T57 leaves only6.295% possible same-cost raw improvement and caps gain at1.06718x.",Pursue point-evaluation realizability for mathematics or leave the static equal-cost class for winning.,A static rule can reopen competitively only with measured cost below24.59% of baseline or by leaving T57's scope.,The theorem is infinite-width/static/mass-one; it is not an actual-width or adaptive impossibility result.
Orientation-blind phase failure vs orientation-sensitive escape,"T48 proves even quotient features cannot emit signed coefficients, while A50 defines a canonical odd feature.",Stop generic model sweeps on M153 features; source-gate and run only the frozen odd construction.,A50 must beat constants/even features under exact replay and full cost.,"A failed A50 closes one oriented class, not all adaptive phase information."
Pooled checkpoint rank vs per-network rank,M160 pooled effective rank around4 can be caused by cross-network sign cancellation.,Recover per-network increment Gram matrices before claiming multiple independent modes within a typical network.,Report grouped rank distribution or common transported modes.,Pooled heterogeneity is retained; within-network source dimension remains open.
Source-local theorem IDs vs canonical ledger IDs,"The proof-completion bundle labels old concepts T42–T46, colliding with canonical v18 numbering.",Canonical mapping: source T42->canonical T44; source T43->T45; source T44/T45->T43; source T46->T48; source T47->T47.,Use canonical IDs in manuscripts and ledgers; preserve source-local labels only in provenance notes.,Prevents theorem citation drift and accidental duplicate claims.
M164 contradiction gate vs terminal closure,The exposed8/8 result required one untouched test.,"Raw effect replicated, but adjusted score and tails fail.",Seal larger holdout and close descendants.,The governance exception is resolved.
Odd feature correlation vs correction value,Several canonical odd features correlate around0.4 with coefficients.,Grouped correction policies still score1.07-1.11 and have unsafe tails.,Do not infer value from pooled correlation; evaluate scored projection.,"A50 closes one orientation representation, not all odd information."
One-step Edgeworth accuracy vs final estimator,Cross-cumulants sharply improve next-layer variance.,Approximate suffixes and final marginal replacements erase the benefit.,Demand a high-value final correction basis before continuation.,Intermediate prediction quality is not competition value.
Nonlinear development gain vs frozen transfer,Geometric median scored0.973 on development.,Frozen holdout scored1.005 with worst1.340.,Close the robust aggregation family in this representation.,"The nonlinear loophole remains mathematical, but this concrete route is negative."
Abstract rank floor sharp vs real quadrature may be separated,"Schur-Horn attains the floor for abstract matrices, but atomic equality requires a uniform positive zero code.","Prove off-diagonal-energy, idempotence-defect, zero-code or joint-moment bounds.",Any stronger floor must use point-evaluation constraints shared across profiles.,Do not mistake abstract sharpness for existence of a spherical rule.
Continuous/multiblock optimization vs remaining6.3% gap,Corrected richer cones gain under0.001 percentage point over the exact witness.,Stop radius-grid engineering; attack realizability.,A new cone must deliver a certified material improvement and survive exact verification.,"The corrected richer-cone numbers are numerical, not theorem constants."
Stable K<=32 support indices vs unstable signed capacity,The same neurons can recur across rotations while spanning very different downstream-signed defects.,Build a larger/multi-checkpoint or independently oriented source before coefficient work.,>=50% exact-amplitude capture on every frozen rotation before learning.,Support overlap is not source-value evidence.
Flexible feature model vs matched global action,The model reverses the useful first global coefficient and loses to the constant.,"Use constant-first residual whitening, bounded scale and zero-default abstention.",Incremental feature value must beat the matched global action under exact replay.,Do not compare only against zero coefficients.
93.7% infinite-width floor vs width256 competition object,T57 nearly closes static signed rules only for the limiting kernel.,Instantiate the degree128 subcertificate using exact width256 noise-stability constraints.,Report actual-width numerator and Kerdock denominator with rigorous intervals.,Do not transfer the theorem through qualitative kernel convergence.
Degree123 barrier vs strongest static floor,D123 clears the1.10x threshold but is weaker than the degree280 T57 floor.,Use T57 for the headline cap and T68 for a simpler lower-degree independent certificate.,Do not call T68 the strongest canonical floor.,Prevents numerical frontier regression.
Strict nonattainment vs quantitative improvement,No atomic rule reaches the certificate boundary.,Noncompact signed weights can approach limits through cancellation/ill-conditioning.,"Require explicit compactness, TV or conditioning control for a stronger number.","Strictness is structural, not a new score bound."
Shared-profile coupling vs abstract sharpness,A joint SDP may look stronger than separate block-trace bounds.,T61 supplies one simultaneous abstract optimizer for every profile.,Add genuine spherical evaluation identities.,Closes another local proof optimum.
Finite-width coefficient positivity vs domination,Finite-width kernels have nonnegative expansions.,Nonnegativity does not imply they dominate the limiting coefficients.,Prove width256-specific intervals or moments.,Blocks an invalid shortcut to T60.
A51 interface size vs information compression,128 reported contractions appear smaller than a256-dimensional defect.,Under invertibility they are jointly equivalent to the full defect.,Derive only downstream-contracted scalars from physical sources.,Avoids a large but noncompressive prediction target.
Exact local crossing formula vs end-to-end replay,T65 exactly solves each independent Gaussian row's local remainder moments.,Deep propagated remainders can interact and amplify.,Control the conditional Duhamel sum and cross terms before claiming a score gain.,"Local exactness is enabling, not sufficient."
Adjoint scalarization vs automatic variance reduction,A^T e can be written as a few scalar potential discrepancies.,The total potential is algebraically the original output projection.,Seek a band with analytic or low-cost expectation.,The identity narrows the target but does not create information.
Oracle source capacity vs competition viability,An oracle ratio below0.2304 can win at zero extra cost.,Coefficient noise and compute consume the square-root margin exactly.,Require (sqrt(r*)+sum sqrt(v gamma))^2<1/4.34.,A0.20-0.22 source may still be unusable.
Multi-checkpoint intervention vs late-interface correction,Several physical modes arise across depth.,They can potentially be represented as one late center shift and replayed exactly through the final layer.,Test late compression before proving deep replay.,Avoids solving a harder theorem than the estimator needs.
Checkpoint rank4 vs generic rank4 basis,Four checkpoint modes do not imply the late Jacobian or center-defect population has a shared rank4 PCA.,Existing universal/support compressions fail and A51 can be full-dimensional.,Use network-covariant physical band channels.,Prevents another generic low-rank local optimum.
Abstract rank floor vs actual signed atomic inertia,T58/T61 show the rank/block-trace matrix relaxation is sharp.,An atomic signed moment cannot have more positive eigenvalues than positive weights; any negative atom changes N to N-1 in the positive-index floor.,Use T74 as the strongest static theorem while retaining abstract sharpness as a method boundary.,Atomic structure can strengthen an otherwise sharp abstract relaxation.
More negative weights vs more design freedom,Signed weights appear to offer increasing cancellation freedom.,T78 imposes a monotone inertia tax with the count of negative atoms.,A near-boundary rule must use sparse negativity and enough negative mass per atom.,Diffuse negativity is provably counterproductive.
Mass mismatch vs static loophole,T74 is stated mass-one.,T75 includes the constant harmonic and optimizes total mass near one.,Use the free-mass theorem for unrestricted static linear claims.,Biased total mass does not explain competitor performance.
Suffix contraction vs target replayability,T77 contracts state error in expected MSE.,The desired integration correction may not equal replay from a single legal checkpoint state.,Prove target representation/replacement bias before invoking T77.,"Nonexpansivity solves propagation, not identifiability."
Finite pointwise closeness vs spectral transfer,A finite-width kernel can be close at sampled correlations.,Different nonnegative chaos spectra can agree at all sampled points and differ in harmonic coefficients.,Use T76 moment constraints and an infinite-tail dual.,Point samples alone cannot transfer T60.
MathContinuation source IDs vs canonical best-path IDs,Two v23 continuations independently used T70-T75 labels.,Canonical v24 preserves best-path T70-T73 and remaps the math package to T74-T78.,Cite canonical IDs in all synthesis artifacts.,Prevents proof and estimator claims from being conflated.
Repair rank4–5 vs legal source rank≈36,The 4–5 number is target-informed checkpoint-increment energy after target alignment; it is not a canonical legal coordinate count.,Use the adaptive direct-output source and measure source-specific contraction covariance.,Never summarize the useful legal correction as simply four or five dimensional.,Independent direct-output and hidden-source tournaments.
“Source missing” vs direct-output source found,A legal gauge-invariant source now passes Gate A without extra network evaluations or replay.,Freeze its construction and solve exactly one weight-aware SOCP audit.,Do not claim a deployable candidate until absolute signed contractions and economics pass.,M173 source capacity is oracle diagnostic; M174 estimators fail.
Conic30 development pooled0.138 vs confirmation failure,Pooled exposed development capacity was real but hid rotation/network tails; confirmation median0.239 and worst0.311 disqualify the exact source.,"Retain only A90 full48 reconstruction, not more A30 pilots.",A30 remains stopped even if its exact control identities are elegant.,Agent7 confirmation supersedes deployment optimism from earlier conic reports.
Replay concern vs observability bottleneck,Direct-output correction is exactly linear and pays no replay; hidden shifts can also be compiled cheaply.,Allocate effort to absolute signed contraction estimation or a lower bound.,Do not optimize replay as the main win path.,Replay feasibility does not imply coefficient observability.
Exact conic self-control theorem vs negative pilots,"Known-mean controls guarantee unbiasedness, not low residual covariance; later real-array pilots show insufficient variance collapse.",Preserve the theorem but close sampled A30 deployment.,"Require full physical covariance and score, never correlation alone.",Agent3 theorem is not contradicted; Agent7 supplies the decisive economics.
Finite group transcript no-go vs weight-aware path,"No universal deterministic identity exists from the129 group outputs alone, but network weights/checkpoints may contain additional information.",Use T82 SOCP or prove a lower bound for the larger legal sigma-algebra.,Do not overstate T81 as closing all direct-output work.,The theorem is structural and scoped.
“Bivariate Edgeworth is the one untested question” vs prior M40,M40 already reaches0.288% oracle one-step next-variance error using third+fourth pair moments.,"Reproduce in the new harness, then compress and freely roll out.",Do not call dense pair-formula sufficiency open; the open problem is legal state transport and compatibility.,Prior result is synthetic/oracle and does not itself produce a candidate.
Deep Tucker energy capture vs failed covariance compression,The third-cumulant tensor may be low multilinear rank while the downstream covariance defect remains high-dimensional or sensitive to small modes.,"Compare compressed and dense mixed contractions and wᵀΔCovw, not Frobenius energy.",Compression passes only if it preserves downstream next-variance and final adjoint loss.,"Tucker spectrum is oracle empirical evidence, not a recurrence."
Good marginal closure vs bad full rollout,Marginal means can be locally accurate while covariance/cumulant states are inconsistent and errors feed back over depth.,Full joint state ablation with oracle/propagated mean and covariance crossed systematically.,Both components must improve together through32 layers; local pair RMSE is insufficient.,M30/M31/M44/M70 already show this failure mode.
