Issue,Previous / ambiguous recording,Corrected evidence,Environment / scale,Confidence,Canonical correction,Source
R11 Activation experiments compressed,Many distinct phase and pilot experiments were merged into one V75 row.,"Conditional CV, Walsh learning, invariant contractions, rotated pilots and internal pilots have distinct scales/results/reopening implications.",N=8/24 and larger corpora,High,Add ARCI-4 through ARCI-9 rows.,Activation continuation
R12 Equivariant experiments compressed,Only one aggregate M92 row.,Eight architectures/probes at widths32/64 show different tails; best1.01142 still below replay break-even. Three zero-target rows were repaired.,Large reduced-width corpora,High,Add M97–M103 and A38; preserve one bounded width256 test.,Equivariant report
R13 Sparse toy tolerance conflict,"Toy sparse center errors up to~1.7% did not hurt, which could be misread as relaxed tolerance.",Real M83 breaks~0.45% and0.65% is harmful. Toy is algebra/unit test only.,Toy vs real oracle tolerance,High,Never use toy tolerance for ARC gates.,sparse center report / M83
R14 Coreset closure scope,Sandbox agent recommended broad closure; user/local work not finished.,"K2 exact tested representation fails decisively, but oracle supports exist and protected holdouts were unopened.",Exact geometry synthetic N=20,High K2 / low broad class,Close tested K2 only; broad class paused until qualitatively new proxy or matched local replication.,Exact Kerdock coreset report
R15 Archive completeness,Code archive could be mistaken for canonical complete state.,"Archive omits official data, high-precision corpora, frozen sparse arrays and sibling continuations.",655-file archive audit,High,"Treat archive as code/result snapshot, not complete ledger.",arc_code deep audit
R16 Coreset representation scope,The prior canonical state left one qualitatively new row-importance proxy as an active reopening route.,Two fresh exact-geometry tests now show that both nonlinear per-row phase importance and independent pairwise complementarity can correlate with local importance while recovering oracle support only at chance and missing same-support oracle-error gates by 197–729x.,"Synthetic width256 exact geometry, N=12+12; protected holdouts unopened",High against handcrafted row/edge score families,Close K2 plus independent row- and edge-scoring families as active research. Preserve only a dormant opening for a true set-level span/conditioning scorer.,QUALITATIVELY_NEW_CORESET_REPRESENTATION_REPORT; CANCELLATION_AWARE_CORESET_EXTENSION_REPORT
R17 Joint-scalar lane status,Portfolio still listed independent micro-cubature/source localization as active after the exact audit became reproducible.,"Component ablations, source fractions and cost frontier are hash-verified. No ordinary 4,096-row suffix/pilot design retains70% of exact-anchor gain below14B.",Archive-level reproducible; branch-specific synthetic/full-width cohorts,High for tested designs,Close tested joint-scalar source lane; preserve only full-depth shared arithmetic or absolute checkpoint exceptions.,JOINT_SCALAR_ANCHOR_REPORT / AUDIT
R18 Sparse direct-output vs layer31 target,The 0.109 sparse exact-anchor ceiling risked being generalized into a layer31 residual surrogate.,"Fresh24 factorial: best high-sample ArmB1.387 and deployable ArmD35.352, while full oracle layer31 remained0.021. Coefficients matched, so the failure is target/anchor mismatch.",Sandbox width256 N=24 + 4-network convergence,High against tested layer31 form / low direct-output validation,Close layer31 sparse radial-Hermite residual control; keep direct final-output oracle mechanism separately active.,SPARSE_RADIAL_HERMITE_LAYER31_FACTORIAL_REPORT
R19 Marginal shared-phase scope,Shared-arithmetic companion phase design remained active after ordinary pilots closed.,"Frozen final-gate Stein flux was nearly free and weakly positively correlated, but adjusted candidate/base was1.0136 with29/50 wins; it mainly suppressed a harmful V80 correction.",Sandbox width256 frozen N=50,High against this marginal statistic,Close final-marginal Gaussian Stein/H3 flux; preserve only a dormant non-marginal cross-output/adjoint contraction exception.,SHARED_ARITHMETIC_EXTERNAL_PHASE_REPORT
R20 Joint-scalar exceptions tested,Full-depth shared recurrence and inherited checkpoint were listed as the two surviving joint-scalar exceptions.,Both implementation families were tested. Exact checkpoint+candidate sources reached0.526 at6.744B but retained only61.18%; legal inherited1.014 and legal full-depth1.001. Candidate checkpoint error destroyed the composed control despite high anchor cosine.,"Compatibility reconstruction, exposed width256 N=8",High against tested implementations,"Close current exceptions as active work. The only theoretical reopening is a fundamentally more accurate absolute joint checkpoint/source, not recurrence algebra.",JOINT_SCALAR_RECURRENCE_REPORT
R21 Coordinate stability vs oracle capture,The portfolio treated target-free sparse layer31 support as an immediate enabling step once selectors appeared coordinate-stable.,"Two high-reference complete-design rotations selected nearly the same coordinates, yet K32 oracle-gap capture fell from 53.21%/51.08% to 38.90%/36.50%. Stability of the support set does not establish rotation-invariant usefulness.","Sandbox width256 N=8; two rotations; 524,288-row Sobol references per split",Moderate-high against tested selectors,Close the bounded fixed-coordinate support program. Any future layer31 representation must be rotation-aware or target the full downstream-sensitive subspace.,TARGET_FREE_LAYER31_SUPPORT_REPORT / HIGHREF_RESULTS
R22 Direct sparse oracle status and mechanism,The canonical state treated the direct radial-Hermite result as an unvalidated eight-network0.109 ceiling and kept connected-cubic estimation as part of the enabling lane.,"A frozen24-network validation passed conservatively at0.4271 with24/24 wins and worst0.9859; the noise-corrected estimate was0.1475. Lower-order-only0.4215, connected-only1.0083, mean omitted1.8864, pair moments omitted16.3197. Rank16 retained70.54%.","Sandbox width256 N=24, exact construction, independent streams; IDs1000–1023",Moderate-high for mechanism; no deployment confidence,Promote direct sparse control to validated oracle mechanism. Redefine the active anchor target as the full 128 lower-order mean/pair-moment contractions; drop connected c21 and rank16 compression from the default deployment plan.,REPRODUCTION_REPORT / FROZEN_VALIDATION_RESULTS / COMPONENT_ABLATION / MANIFEST
R23 Compiler proxy nonportability resolved,The ledger treated adaptive calibrated ratio 0.97865 as potentially portable after two_layer/fixed_three lost.,"Completed current-package Mini measurement gives adaptive_2_6 ratio 1.11956 [1.1120,1.1267], 0/100 wins and worst 1.2340. All compiler variants add tracked arithmetic relative to the partial-tree baseline.","Official/public Mini-100 paired local run, 100 networks",High,"Close all tested compiler deployment variants, retain the production baseline, and preserve compiler code only as diagnostic infrastructure.",Post-cutoff completed official transcript; raw bundle unavailable in shared Library
R24 Exhaustive-ledger integrity defects,"A23–A33,V65,T23,T24 were referenced in updates or verdicts but absent from Experiment Ledger; A25 meant two different experiments; counters and KPI labels were stale.",Earlier canonical CSV/XLSX artifacts contain the complete missing records. All14 rows were restored; fixed3 registry ID changed toA29/A31; counters are live formulas and KPI labels are unique.,Cross-workbook/library audit,High,Workbook restored as authoritative experiment and shipping specification.,Earlier canonical ledgers and current v7 audit
R25 Radial mechanism versus implementation,M108/M111 could be read as closing low-dimensional layer31 support after rotation instability and a harmful universal-shrink tail.,"The final uniform independent N=24 protocol shows K32/K128 oracle signed anchors retain80.56%/91.53% of the layer31 gap. The closure applies to universal shrinkage, replay, and rotation-unsafe deployment—not to low-dimensional anchor capacity.",Fresh synthetic N=24 plus hard-rotation panel,Moderate-high mechanism / no deployment confidence,Continue only legal signed-anchor and abstention estimation; use direct final-output control.,INDEPENDENT_LAYER31_RESIDUAL_FINAL_REPORT / RADIAL31_CONTINUATION_REPORT
R26 Exact-K32 sign versus template-phase sign,Earlier hard rotations suggested sign reversal was the central K32 problem.,For the exact K32 direction all audited optimal scales were positive; fixed0.50 removes tails. Sign changes remain common only for approximate fixed templates.,"Canonical24,hard12,immutable36 plus phase audit",High,Separate exact-direction scaling from approximate-template phase. Freeze alpha0.50; do not overgeneralize sign reversal.,Path2 continuation / phase terminal
R27 Pair-moment omission versus free pair moments,M109/M110 pair-omission ablation looked catastrophic and motivated independent pair estimation.,"For the lower-only center formula, exact center plus same-cloud Kerdock pair moments is indistinguishable from exact pairs. Catastrophe involved a different complete-anchor decomposition/channel.",Full-width component audits,Moderate-high construction-specific,Active target is center defect contractions; do not fund separate covariance/pair estimation unless a new construction requires it.,Agent1 continuation / M109-M110
R28 Micro-cubature tentative GO reversal,The first toy and small width256 screen made rank32 micro-cubature the leading unrun experiment.,"Fresh24 oracle-center result0.869,worst2.263 and rank32–80 plateau0.73–0.77 close the tested family.",Fresh full-width confirmations,High,Close absolute EC-R32-MEG; preserve only residual machinery.,Agent3 continuation / decision
R29 Ordinary companion closure versus structured partial MUB,Prior ledgers grouped partial-MUB with expensive ordinary pilots and complete companions.,"Full companion is expensive, but cost-neutral112+17 structured replacement has validation raw0.943 and adjusted proxy≈0.935. Its problem is tail, not average economics.",Fresh N=24 plus frozen12/4/8,Moderate,Create a distinct active structured-companion branch; do not reopen ordinary pilot averaging.,Direct32 / partial-MUB synthesis
R30 Layer8 gate discovery versus immutable failure,Earlier grouped panel suggested l08 dispersion removed a catastrophic correction tail.,"Fresh holdout failures occurred below threshold, and the scalar-rescue terminal added zero decisions/caught0 severe tails.",Immutable36 plus exposed48,High,Close l08 as a general abstention/allocation rule. Retain only bounded usage where missing a trigger is safe.,Path2 / Path4 continuation
R31 Agent ledger ID collisions,Path2 and K32-phase CSVs both proposed M114–M117.,Canonical v9 ended at M113; importing both would overwrite distinct experiments.,Cross-file ledger audit,High,Assign canonical M114–M129 sequentially in v10 and treat agent IDs as source-local only.,Agent ledger additions
R32 Path5 positive existence versus no selector,Support-library coverage can be read as an active deployable lead.,Every completed selector family still fails; the512-support large-corpus campaign is explicitly in progress with sealed holdout.,Exact-geometry consolidated report,High completed / unknown pending,Record C65 as existence/closure and C66 as in progress; no positive claim before sealed holdout.,Path5 consolidated report
R33 Algebraic pair necessity versus independent pair-estimation value,Earlier omission tests made pair moments look like the primary missing external object.,"The exact formula shows pair scalars multiply the center defect. With an external center fixed, independent and primary pairs differ by only1e-5 in final ratio and cosine0.999999479.",High-reference exact-center plus fresh24 full-companion-center ablation,High for this lower-only construction,Keep pair moments as fused primary observables; estimate only selected center contractions externally.,PAIR_TARGET_DERIVATION / DECISION(4)
R34 Favorable adjusted fixed112 mean versus preregistered tail stop,"The actual fixed112 scalar package has adjusted0.896, which could be read as a positive result.","It hard-stopped at worst1.579, the guard caught0/8 harms and baseline-only fixed112 worst1.715. Competition safety gates dominate the favorable mean.",5 new base networks; compatibility rather than official subprocess,High against this package,Close the package and preserve129. Keep112+17 partial-MUB separate because it estimates a different independent anchor.,DECISION(3)
R35 Partial-MUB promising proxy versus immutable failure,Earlier8-network validation and projected economics made112+17 plus paired safety the leading live package.,"The dedicated32-base grouped study produced raw1.120,worst2.630 and adjusted lower bound1.143; paired substitution collapsed to zero.",Immutable grouped study,High,Close the entire tested paired-safety architecture and remove it from Next Actions.,REPORT(10)
R36 Exact terminal closure floor versus deployable closure,"Exact fourth-order moments yield≈2.7–3.8e-8, apparently winning-scale.",Same-cloud/matched-N moment estimation is neutral≈0.98–1.01 because final ReLU is nearly linear and estimating the mean remains binding.,Public audit + exact Mini local screen,High mechanism / moderate local code persistence,Retain oracle floor only; close B2 absent new independent moment estimator.,REPORT(11) / local branch
R37 Oracle codebooks versus legal observability,Orientation and support codebooks have strong or complete oracle coverage.,Legal selectors and bounded weights fail badly: orientation selectors≈1.01 raw; Path5 selector43/96 and frozen weights0/96.,Fresh/preregistered validation,High,Codebook existence is not an active path; both branches are closed.,PRIORITY6 / DECISION6
R38 Partial design control hypothesis versus exact Mini result,Research tree promoted revived low-degree controls at reduced basis count.,Correct block-level exact Mini evaluation is neutral1.005 across2–128 bases; pointwise fitting was invalid.,Official exposed Mini exact targets,Moderate-high pending code archival,Close B1 tested family and do not launch composition factorial.,Local branch
R39 Low-point floor hypothesis versus exact scaling,Tree proposed official129/96/64/32 submissions to test whether floor operation is free.,Exact Mini nested subsets show MSE≈N^-1.150 and score improves as N^-0.150;128 bases is better.,Official exposed Mini exact targets,Moderate-high pending code archival,Cancel the four-submission curve unless official packaging contradicts the harness.,Local branch
R40 Ledger completeness versus chat/scratchpad state,v12 recorded the exact-Mini scripts as unpersisted session scratchpad dependencies.,"The scripts, frozen asset, manifests, synthetic contract, archive-integrity evidence and local execution entrypoint are now persisted. The original scratchpad source/cache remain unavailable, and raw three-shard reproduction still requires the user's local dataset.",Generated continuation bundle plus v12 handoff,High for persistence; raw certification pending,"Use the recreated package, but distinguish archive integrity from raw parquet recomputation. Do not claim byte-identical recovery of the missing scratchpad.",arc_whitebox_continuation_20260729
R41 Frozen archive integrity versus clean-checkout reproduction,A frozen result matching 2.28259132946107e-7 can be mistaken for proof that the reconstructed harness reproduces the raw dataset.,"Archive verification checks only a stored scalar and file hash. Clean-checkout proof requires executing all 100 parquet records, writing row-level results and passing the exact raw-MSE gate.",Frozen official JSON plus recreated executable harness,High,Keep separate archive_integrity_only and raw_parquet_recomputation modes; only the latter closes A46.,official.py / DECISION.md
R42 A43 tracked saving versus complete deployment economics,"A43 removes 524,123,904 tracked operations and could be called the arithmetic winner from isolated counts.",The saving is worth only 5.24123904 ms of residual wall per network. Official setup/loading and runtime may reverse it; A42/A43 local output parity does not settle effective compute.,Frozen T0 instrumentation package,High for arithmetic identity; official cost pending,Run production/A42/A43 identically and submit only the measured complete winner. Use A43-delta64 to calibrate cost noise.,A47 / T0 final bundle
R43 Exact-Mini scaling closure versus recovered Prompt-7 partial-basis economics,M144 said to cancel the four-submission 129/96/64/32 curve because full basis count wins statistically.,"A48 independently confirms 129 is the standalone raw-MSE operating point, while showing that 96 is close only after compute adjustment and may be useful as a control host. The exact information-bearing next step is a frozen seven-arm local official-subprocess run, not four leaderboard submissions.",Frozen full-width 16x2 grouped synthetic test; official-shape packages; official residual wall unmeasured,High for standalone ordering; moderate for adjusted economics,Keep 129 statistically. Measure 96/64/32 locally inside the one seven-arm official suite for packaging/control-host economics; submit only the production/A42/A43 shipping winner.,A48 / T0_Unblocked_20260729
R44 'Three faces are one theorem' versus actual proof status,"The local narrative presents harmonic, depth and learning failures as one theorem.",Only the correction-risk/replacement/common-bias statements are presently theorems under assumptions. Harmonic annihilation covers specific classes; depth flatness and learning failure are empirical.,Proof memo + harmonic reports + M152 transcript,High,"Use 'three complementary obstructions' or 'three empirical/theoretical faces of an information-alignment bottleneck,' not one universal theorem.",T28 / T25 / M79 / V67 / M146 / M152
R45 Analytically integrable controls versus low-degree annihilation,The local model says any analytically writable expectation becomes a low-degree angular polynomial.,False in general: analytically integrable nonpolynomial functions can have arbitrarily high harmonic content. Exact annihilation is proved only for named polynomial/Hermite and specific Stein families; degree6+ controls failed empirically.,"T25,M79,V67,T2 and harmonic CV experiment",High,Narrow the theorem statement and include a counterexample or explicit class definition.,Paper audit
R46 Scalar-learning closure versus missing artifact,M152 is described as definitive and based on1100 exact labels.,"No script, row output, feature list, target equation or split manifest was found. It is consistent with M76 but not independently citable.",Library-wide search + prior M76/M145,High evidence-governance concern,Record provisional; assign independent reproduction before paper use.,M152 audit
R47 T22 arbitrary nodes versus T27 signed restricted universe,T27 may sound like it closes signed weights generally.,T22 covers arbitrary nodes with nonnegative weights; T27 permits real/signed weights only on the fixed Kerdock line universe. Proposition5 gives a stability penalty but not unrestricted signed optimality.,"T22/T23,T27,T28",High,"State the two scopes side by side in abstract, theorem table and limitations.",Proof audit
R48 Depth ratio1.012 versus theorem claim,Layerwise relative error appears nearly invariant and motivates circularity.,The proof memo explicitly classifies1.012 as empirical. The rigorous result is the downstream replacement threshold; depth preservation is supporting evidence and a possible future random-matrix theorem.,"M146,T28",High,"Do not call depth invariance a theorem. Report cohort, uncertainty and perturbation geometry.",Proof audit
R49 No active path versus universal impossibility,The combined negative map motivates stopping.,"The evidence closes tested information classes, not every legal adaptive nonlinear estimator. The public frontier may include private methods, though accounting explains much of it.",Ledger-wide + M149,High,"Frame as an evidence-based stopping rule and explicit reopen gate, not impossibility.",Portfolio synthesis
R50 Original T22 safe bound versus tightened T30 auxiliary optimum,The old 0.0233655% and new 0.02332417% figures can look contradictory.,T22 is the original rational safe near-optimality certificate; T30 solves the all-degree auxiliary LP and slightly tightens the auxiliary lower-bound comparison. Both are one-sided and neither proves strict Kerdock suboptimality.,d256/depth32 limiting kernel,High,Cite the certificate being used and keep the true-excess lower endpoint at zero.,T22/T30 closure
R51 T16 dual negativity versus full LP optimality,T16 was previously marked as only a finite-to-1e6 numerical audit.,"Exact recurrence plus analytic tail proves every reduced cost negative; T30 adds feasible Hermite primal, positive coefficients, primal-dual equality and uniqueness.",All admissible nonnegative Gegenbauer expansions,High,Mark T16 as the dual component and T30 as the complete all-degree auxiliary theorem.,T16_FULL_LP_THEOREM.md
R52 Static linear optimum versus all-algorithm Bayes optimum,Near-optimal kernel quadrature was used to motivate universal nonlinear/adaptive closure.,The actual final observable is post-ReLU and non-Gaussian. T29/T22 optimize scoped linear classes; T32 supplies a nonlinear counterexample to the extrapolation.,Actual challenge architecture,High,Remove Gaussian Bayes/no-adaptation claims; keep estimator classes separate.,Agent3 Cascade audit
R53 Large signed oracle versus failed global signed rule,M158's oracle 0.131 could be mistaken for a winning signed estimator.,"Oracle coefficients are network-specific labels. Frozen global coefficients reverse/amplify error: 1.557 raw, 8/64 wins, worst 5.404.",64 frozen synthetic networks,High,Record capacity/phase gap; close the tested transferable representation.,M158
R54 Projected-ReLU terminal gain versus 48-network reversal,The 16-network frozen terminal ratio 0.927 looked promotable.,The no-refit 48-network extension scored 1.013 raw and 1.067 adjusted; gains were concentrated in hard networks and did not generalize.,Frozen synthetic terminal/extension,High,Use the extension as canonical and close the family.,M157
R55 Poisson exploratory gain versus terminal regression,A post-hoc exploratory arm scored 0.929.,The frozen terminal test scored 1.038 with 7/16 wins. Exploration cannot be reported as validated performance.,Synthetic exploratory then terminal,High,Close the tested dictionary; retain high-degree analytic class as open.,M156
R56 Downstream rescoring gain versus deployment safety,Archived anchor rescoring found raw 0.852.,Rotation-expansion regressed and worst case was 1.924; the gain is only ~1.17x against a ~4.34x adjusted winning requirement.,28 exposed external archived cases,High,"Retain downstream replay methodology, not the candidate.",M155
R57 M146 arithmetic consistency versus empirical reproduction,The four reported points fit an almost perfect quadratic curve.,"No source rows, perturbation directions, metric or manifest survive; synthetic audits show threshold direction dependence.",Claimed N=60 plus synthetic stress tests,High governance concern,Quarantine headline numbers; use eta_J and exact nonlinear replay.,M146 / Agent6
R58 M152 transcript versus evidence-bearing corpus,"The ledger recorded a claimed 1,100-network replication.",No primary corpus or experiment package exists. The Path-2 audit is a different study.,Unverified,High governance concern,Remove M152 numbers and keep only a reproducibility-failure record.,M152 audit
R59 Release manifest versus external authentication,A local manifest was called immutable.,A manifest is fixed during verification but does not authenticate itself. v5.1 tracks 59 files and quarantines stale v4; external SHA anchoring is still required.,T22/T23 release,High,Use fixed verification hashes; publish digest externally and run CI.,T31
R60 Tested-class closure versus universal impossibility,The stopping decision was phrased as no statistical path exists.,"M153–M158 close specific representations and policies; T32 disproves the universal Gaussian route. New geometry, information, residual kernels and finite-width structure remain open.",Ledger-wide,High,"State an evidence-based resource stop with explicit reopening gates, not a no-free-lunch theorem.",Master closure report
R61 Local fastest arm versus official shipping winner,A42 was fastest in one deterministic local synthetic run.,"Official effective cost, raw-MSE parity and grader environment are absent; local wall time cannot promote a submission.",Seven isolated local subprocesses,High for local result,Retain production until an official-environment comparison.,A49
R62 Internal hostile review versus human sign-off,The assembled drafts passed an adversarial internal review.,AI-assisted review is not independent human mathematical or reproducibility approval.,Closeout review packet,High,Mark named human sign-off as external blocker.,External review packet
R63 Partial T31 audit versus complete second engine,v16 described the second arithmetic implementation as incomplete/partial.,Direct-C GMP/MPFR now regenerates every theorem-critical component and full interval tree.,"1,421 intervals, GCC/Clang, sanitizers",High,Upgrade T31/T41 to complete implementation-diverse numerical reproduction.,Agent2 dual-engine package
R64 Common-bias theorem versus group-invariant extension,Observability was framed mainly as additive common bias.,T39 generalizes the obstruction to any explicitly modeled symmetry discarded by runtime information.,Abstract group model,High in scope,Use T39 as framework; keep actual-symmetry condition empirical.,T39
R65 Project complete versus external release complete,"All internal research, writing and packaging tasks can be finished here.","Official grader access, external digest authentication and named human reviews cannot be completed internally.",Project closeout,High,Declare internal project closure with three explicit external gates.,v17 closeout
R66 T33 score-space projection versus layer-space downstream weighting,E[A|Z] was informally treated as the optimal layer correction.,T42 shows the general optimizer is Sigma_G^dagger mu_G; E[A|G] is valid when J is runtime-observable. T33 remains correct for score-space error.,T33/T42,High,Use the downstream-weighted conditional normal equation in layer-space statements.,Conditional Observability theorem memo
R67 Global signed openness versus T45 rank floor,The signed loophole was described as allowing unconstrained or potentially vanishing risk.,"T45 supplies a nonzero infinite-width floor of 1.7011781e-8, while leaving signed near-optimality and finite-width arbitrary nodes open.",T45,Pending independent numerical audit,Add the floor with explicit verification and scope caveats.,Best Theorem Targets
R68 Project hard stop versus M164 falsifier,v17 said the research stop was operationally final and sampled pilots were closed.,One post-hoc rank-24 partial-MUB configuration has an exposed 8/8 adjusted signal and must receive untouched validation before blanket impossibility language.,M164,High as governance contradiction / low as evidence,Keep hard stop on open-ended research but permit one exact frozen falsification test.,STRONGER_IMPOSSIBILITY_BOUNDS.md; BOUNDS_DECISION.md
R69 Scalar-bias repair narrative versus cross-layer coherence,The large layer31 channel was often described as one missing absolute center/phase.,M160 shows weakly coherent checkpoint increments and small final-two-layer energy share; layer31 is a compressed multi-component repair interface.,M160,High for authenticated arrays,Revise mechanism narrative; do not infer source origin from cumulative oracle ladder.,OracleContinuation FINAL_REPORT.md
R70 Unweighted/T47 floors versus current T57 floor,T47 was the strongest arbitrary-signed static specialization.,"T47 remains valid historically, but T56/D47 and T57 raise the floor to0.7910 and then0.9370459569 R_K.","T45,T47,T56,T57",High after current package verification,Keep earlier theorems as proof genealogy; use T57 as the canonical headline.,Prompt1 and RemainingQuestions packages
R71 Signed static openness versus competition-winning relevance,A factor below two was once open and described as a possible live path.,T57 limits same-cost raw gain to1.067183517x; at4.34x it needs cost<=24.5895%.,T57 + current score gap,High inside stated scope,"Close equal-cost static signed as winning; retain lower-cost, finite-width, adaptive/nonlinear and free-mass escapes.",T57; canonical v21 frontier
R72 Pooled repair rank versus typical-network source dimension,M160 was summarized as a multi-component layer31 interface.,Pooled effective rank does not establish within-network rank because cross-case sign cancellation can orthogonalize concatenated increments.,M160,High for correction,Use pooled heterogeneity wording and make per-network geometry a separate diagnostic.,Oracle continuation hostile audit
R73 Canonical theorem numbering versus source-local proof-completion numbering,The new report reused T42–T46 for concepts already assigned in canonical v18.,Normalize source-local labels to canonical T43–T48 and record the mapping explicitly.,T42–T48,High governance,"Use canonical IDs in all new manuscripts, tables and release artifacts.",Oracle proof completion report
R74 M164 open falsifier versus completed validation,v19 retained M164 as unresolved.,"Untouched N=24 raw gain transferred, but adjusted inverse performance0.939729 and worst1.260358 fail.",M164,High,Close branch and keep64 holdout sealed.,Non-compute continuation report
R75 A50 source gate versus policy value,A50 was source-gated and unexecuted.,"Full source and rank4 ceilings pass, but grouped odd/even policies all exceed1; source capacity does not imply phase observability.",A50,Moderate due four networks,Close exact construction; retain only full128 interface.,A50 analysis
R76 Edgeworth state accuracy versus estimator accuracy,Strong one-step moment improvement could be mistaken for a correction candidate.,"Recursive, marginal and generic downstream final estimators erase or reverse the state gain.",M165–M167,Moderate-high for named forms,Require final-output oracle ceiling before any new analytic validation.,Non-compute continuation report
R77 Nonlinear theorem loophole versus tested nonlinear aggregation,Static theorems leave nonlinear aggregation open.,Robust and power-mean basis aggregation shows no stable value and the frozen geomed source reverses on holdout.,M168,Moderate for representation,"Close named representation, not all nonlinear algorithms.",HOLDOUT_GEOMED.json
R78 T47/D47 frontier versus degree-280 T57,v20 and Prompt1 treated 0.505 or0.791 of Kerdock as the strongest signed floor.,The released degree-280 block-trace certificate proves0.9370459569 R_K and supersedes all earlier numerical signed floors in the same scope.,"T47,T56,T57",High after independent in-package verification,Use T57 as the canonical strongest floor; retain T56 only as a degree-47 proof-method ceiling.,RemainingQuestions certificate package
R79 Stronger block-trace search versus abstract sharpness,Further rank/trace weighting could appear to be the main route to close the remaining signed gap.,T58 constructs exact abstract equality for every released profile; rank plus block traces are exhausted.,T58,High,Redirect all strengthening to point-evaluation realizability and shared moments.,BLOCKTRACE_RELAXATION_SHARPNESS_AND_EQUALITY.md
R80 Continuous-radius saturation versus overflow bug,An earlier continuous search claimed the adjacent cone was saturated.,High-degree derivative products overflowed and omitted stationary points; repaired searches improve the theorem by less than0.001 percentage point.,M169,High for bug and corrected frontier,Quarantine the old saturation claim; retain the exact0.9370459569 theorem constant.,CONTINUOUS_CONE_AND_MULTIBLOCK_AUDIT.md
R81 Within-network rank open versus authenticated reanalysis,v20 retained only pooled heterogeneity and called within-network source rank unresolved.,Per-base and per-rotation spectra show effective rank3.68-4.11 and4-5 components for90% energy on every split.,M160,High for authenticated arrays,Update M160 and design multi-channel rather than scalar sources.,FINAL_REVIEW_REPORT.md
R82 Support stability versus source capacity,Stable coordinate overlap was used as a reason to continue amplitude or selector learning.,Even target-labeled best-of-four K<=32 support choice captures only48.54% pooled and40.53% on rotation19.,M170,High for exact menu,Close all amplitude/selector descendants on the same support menu.,TARGET_FREE_SUPPORT_CAPACITY_REPORT.md
R83 Flexible coefficients versus residual refinement,The five-source learner was interpreted as a network-specific refinement.,It frequently reverses the strongest globally useful coefficient and loses to the constant action.,M171,High for archived rows,Freeze the global action and predict only a bounded Gram-whitened residual with zero default.,ORACLE_CONSTANT_FIRST_DIAGNOSIS.md
R84 D123 'new strongest' language versus T57,Prompt1 continuation calls the 0.909436 degree123 floor the new strongest static theorem.,Canonical T57 is stronger at0.9370459569 in the same limiting-kernel static signed scope.,"T57,T68",High,Retain T57 as headline; present T68 as an independent lower-degree1.10x barrier.,PROMPT1_CONTINUATION_DEGREE123_REPORT.md
