Evidence item,Role in paper,Status,Key claim / result,Caveat,Source
A50 orientation-odd prereg,Constructive observability path,Specification only,Source>=1.20x; policy>=1.10x with grouped/tail/adjusted gates,No empirical evidence; source gate unmet,PREREG_ORIENTATION_ODD_PHASE_OBSERVABLE.md
M164 terminal validation,Partial-MUB closure,Frozen negative after accounting,Raw0.900038; adjusted gain0.939729; worst1.260358,Fresh N=24;64 holdout sealed,Non-compute continuation report
A50 radial odd execution,Orientation-sensitive phase,Development negative,Full oracle0.425; rank4 oracle0.769; best policy1.072,Four networks x3 rotations; no validation,A50 analysis
M165–M167 Edgeworth continuation,Analytic residual,Mechanism plus named-form closures,One-step20-25x; rollout4.4-4.8; radial E3 pilot0.978,Small development and reference-noise limitations,Non-compute continuation bundle
M168 nonlinear aggregation,Adaptive nonlinear,Frozen proxy holdout failure,"Dev geomed0.973; holdout1.005,worst1.340","Cross-rotation proxy, not truth stream",HOLDOUT_GEOMED.json
A51 full contraction target,Remaining frontier,Open identity-level target,Full K32 oracle0.425; no legal full-vector estimator,No candidate or validation,Non-compute continuation report
Prompt4 odd-gauge theorem package,Orientation and exact risk theory,Proved / counterexample package,"Minimal odd information, no global continuous gauge, polar alignment, stability and phase-risk laws",Representation and local-gauge scope; not an empirical win,PROMPT4_CANONICAL_ODD_GAUGE_THEOREM_REPORT.md
Prompt1 weighted-floor package,Signed proof-method optimization,Computer-assisted / review pending,Exact all-rank theorem and degree47 CP window0.7910-0.8767 R_K,Degree47 proof class only,PROMPT1_WEIGHTED_SIGNED_FLOOR_REPORT.md
Degree280 block-trace certificate,Historical static signed theorem,Computer-assisted / superseded numerically,Risk floor0.9370459569 R_K; T74 strengthens it to0.9370605226,Infinite-width static mass-one class; external endpoint review pending,SIGNED_NEAR_OPTIMALITY_CERTIFICATE_BLOCKTRACE_ORDER320.json
Remaining-questions theorem package,Proof frontier and finite-width target,Exact theorems plus corrected numerical audits,"Block-trace abstract sharpness, zero-code equality and degree128 90% frontier",Realizability and actual-width coefficient bounds remain open,REMAINING_QUESTIONS_PROGRESS_20260730.md
Support and coefficient diagnostics,Constructive-class closure,Archived exact-capacity diagnostics,K<=32 support menu48.54% pooled; flexible model reverses global first coefficient,"Closes exact menu/protocol, not larger multi-checkpoint sources",TARGET_FREE_SUPPORT_CAPACITY_REPORT.md; ORACLE_CONSTANT_FIRST_DIAGNOSIS.md
Degree123 continuation package,Lower-degree signed barrier,Computer-assisted / review pending,Risk floor0.9094360931 R_K; same-cost cap1.099582486x; CP ceiling0.9449329659,Infinite-width static mass-one class; T57 remains stronger,PROMPT1_CONTINUATION_DEGREE123_REPORT.md
Post-v21 realizability package,Static proof boundary,Exact theorems,"Simultaneous sharpness, strict nonattainment, bounded-TV gap and conditioned degeneracy",No new uniform numeric floor yet,BEST_PATHS_BEYOND_V21_20260730.md
Post-v21 replay and transfer package,Constructive/finite-width frontier,Exact theorem and counterexamples,Exact Gaussian crossing moments; finite-width monotonicity no-go; conditional A51 interface equivalence,Local replay only; width256 and frozen V remain open,BEST_PATHS_BEYOND_V21_20260730.md
MathContinuation inertia package,Strongest static signed theorem,Exact spectral theorem plus rational certificate replay,Mass-one floor0.9370605226; free-mass floor0.9370603033; same-cost cap1.067166929x,Reuses stored v21 directed coefficient endpoints; independent regeneration pending,WHestBench_Math_Continuation_v23_20260730.md; T70_INERTIA_STRENGTHENED_SIGNED_ATOMIC_FLOOR.md
MathContinuation sign hierarchy,Static sign-structure theorem,Exact-rational hierarchy,">=1,072 negative nodes blocks1.05x; >=4,160 is worse than Kerdock",Static mass-one class; count is distinct from negative mass,T75_SIGN_COUNT_INERTIA_HIERARCHY.md
Finite-width moment and suffix package,Actual-width/replay frontier,"Exact formulations, no deployable result",Nonnegative chaos moment dual; finite samples nonidentifying; independent suffix nonexpansive,"Width256 intervals, target replayability and legal independence remain open",T72_FINITE_WIDTH_NOISE_STABILITY_MOMENT_DUAL.md; T74_GAUSSIAN_RELU_SUFFIX_NONEXPANSIVITY.md
