ID,Branch,Experiment,Environment,Population / geometry,Screen N,Validation N,Holdout N,Protected holdout opened?,Canonical result,Candidate/base ratio,Wins,Worst ratio,Compute status,Status,Closure confidence,Potential upside,Next action,Source,
ARCI-8,Companion pilot,Independent rotated pilots,Sandbox full-width,N=24 validation,8,24,0,No,1032 froze gain0.9296;2064 gain1.0394 adjusted~0.9912;8256 gain1.0705 but cost1.1211 score-negative,0.9621,Mixed,1.811,Minimum row-layer accounting only,Closed ordinary pilots,Moderate,Potential companion insight,Shared-arithmetic design <2% extra compute,ARC activation continuation,
ARCI-9,Phase pilot,Internal 516-row subdesign,Sandbox full-width,N=24 validation,8,24,0,No,"Screen1.0445 reversed to gain0.9651,7/24",1.0362,7/24,Not consolidated,Free rows but no signal,Closed,Moderate,None,Do not use same-cloud disagreement,ARC activation continuation,
V77,Multilevel,Stable-gate MLMC,Sandbox exact-design proxy,Complete Kerdock basis blocks,0,0,0,No,"Candidate/base1.2645,median1.5077; deeper1.2598–1.3373 despite corr0.99944",1.2645,Not reported,Not reported,"Prototype, destroys design cancellation",Closed tested form,Moderate,Low,Compiler arithmetic only,FULL_MULTILEVEL report,
V78,Layer31,Generic Gaussian residual surrogate,Sandbox small frozen,4 discovery+4 validation,4,4,0,No,"Validation gain0.8775 -> candidate/base1.1396,0/4,worst1.4235; cosine sign reversed",1.1396,0/4,1.4235,13.61B+replay,Closed tested form,Low-moderate,High target/wrong surrogate,No Gaussian sign rescue,FULL_MULTILEVEL report,
V79,Harmonics,Exact ridge harmonic q8,Frozen exact-design synthetic,8 selection+8 holdout,8,0,8,No,"Holdout candidate/base0.995006,4/8,worst1.471",0.995006,4/8,1.471,Few B overhead -> negative,Closed,Moderate-high,Small,Internal feature only,Exact ridge JSON,
C62,Coreset,Exact-Kerdock K2,Sandbox exact geometry,"20 synthetic width256,66,048 rows",20,0,0,No,"K2 added MSE1.282e-7,0/20 gates; K2 support+oracle2.941e-8; oracle support2.391e-9",,0/20 gates,2.797e-7 added MSE,"13–18s research selection, not grader-priced",Tested K2 closed; broad paused,High K2 / low class,Moderate,Qualitatively new oracle-support proxy or matched local method,Exact Kerdock coreset report,
M97-103,Learning,Expanded equivariant models,Sandbox reduced-width,Widths32/64; up to1024 train; grouped rotations,0,0,0,No,"Best phase encoder gain1.01142 CI0.98266–1.03259,worst6.12; all below1.03125 replay break-even",0.98871,Mixed,16.62,Replay+3.125%; inference extra,Paused / bounded width256,Moderate against tested family,Potentially enormous,One grouped width256 edge-DWS after target freeze,Equivariant report,
A37/A38,Governance,Split/data integrity audit,Cross-report + pipeline,IDs0–199 exposed;3 incomplete target rows repaired,0,0,0,N/A,No fresh claim may use0–199; completion checks must validate all labels,,N/A,N/A,N/A,Infrastructure active,High,Critical,Create new blocks/manifests,Agent7 audit / equivariant report,
C63,Coreset,Adjoint radial-Hermite phase row representation,Sandbox exact geometry,"Width256, exact 66,048-row Kerdock, seeds 62000–62011",12,0,0,No,"Row-importance Spearman0.551 and top-importance recall46%, but oracle-support recall12.22%≈chance. Same-support oracle-weight added MSE8.020e-6 mean/2.818e-5 worst;0/12 gates; uniform support worse than random.",,0/12 gates,2.818e-5 added MSE,~1.60B arithmetic;0.604s candidate wall vs0.222s tail wall saved,Closed tested representation,High against this row-score form,None for this form; broad oracle support still exists,Pause handcrafted per-row scores; reopen only with validated set-level scorer,QUALITATIVELY_NEW_CORESET_REPRESENTATION_REPORT.md / ADJOINT_RADIAL_PHASE_CORESET_RESULTS.json,
C64,Coreset,Signed cancellation-edge pair representation,Sandbox exact geometry,"Width256, exact 66,048-row Kerdock, seeds 63000–63011",12,0,0,No,"Complementarity Spearman0.590 and top recall35.64%, but oracle-support recall12.23%≈chance. Same-support oracle-weight added MSE2.168e-6 mean/4.855e-6 worst;0/12 gates;197x gate miss;25.2x worse than random oracle-weight support.",,0/12 gates,4.855e-6 added MSE,~6.47B arithmetic;1.154s candidate wall vs0.328s saved,Closed tested representation,High against independent edge-score form,None for this form; only qualitatively new set-level scoring remains,Pause handcrafted row/edge scores; require direct prediction of whole-support oracle error before optimization,CANCELLATION_AWARE_CORESET_EXTENSION_REPORT.md / ADJOINT_CANCELLATION_EDGE_CORESET_RESULTS.json,
M104,Adjoint/source,Joint scalar anchor audit,Archive-level reproducible audit,32 probes / 128 scalar interface; architecture-matched synthetic source cohorts,8,0,16,No protected official holdout,Complete exact0.223995; lower-only0.633203; connected-only1.580440; joint pilot1.008463; one-basis holdout1.04936; crossfit1.006825. Last8/16/24 fractions23.554%/33.79%/82.49%; no <14B localization/cost intersection.,1.008463,Mixed / mostly losses,1.2543,Cost frontier verified; adequate depth>=24 costs14.20B–17.68B depending support,Closed tested source lane,High for tested forms,High only for exceptional shared-arithmetic/checkpoint,No local rerun. Reopen only with complete full-depth shared arithmetic <14B or absolute joint checkpoint.,JOINT_SCALAR_ANCHOR_REPORT / AUDIT / source pack,
M105,Layer31,Sparse radial-Hermite residual factorial,Sandbox fresh full-width,Width256 synthetic networks24–47; 131k independent anchors; 4-network 524k convergence,0,24,0,No,Full oracle layer31 candidate/base0.021; best ArmB1.387; ArmD35.352 and0/24. A/B coefficient cosine>0.9995 with1.5–3% gap. 524k anchors still2.259/2.288.,1.387,0/24 deployable,41x range reported for Arm D,Very expensive high-sample anchors; deployable four-basis anchor catastrophic,Closed tested form,High against this construction,None for this form; layer31 channel remains high,Retain only direct final-output sparse oracle branch and seek a new analytically anchored surrogate.,SPARSE_RADIAL_HERMITE_LAYER31_FACTORIAL_REPORT,
M106,Phase,Final-gate Stein flux for V80,Sandbox frozen full-width,"Width256 synthetic N=50, no extra trajectories",0,50,0,No,"Raw gain1.002085 (candidate/base0.997919); adjusted gain0.986599 (candidate/base1.013583), adjusted gain CI[0.977387,0.997463];29/50; corr0.0586; worst1.0836",0.997919,29/50,1.083634,1.5696% arithmetic;0.676% optimized wall,Closed tested marginal phase statistic,High,None for this form; non-marginal shared contraction only,Do not retune FGSF; any revival must be cross-output/adjoint-weighted and nearly free,SHARED_ARITHMETIC_EXTERNAL_PHASE_REPORT,
M107,Adjoint/source,Joint scalar inherited/full-depth recurrence,Compatibility reconstruction,Exposed width256 synthetic N=8; exact scalar interface,8,0,0,No,Exact0.225957; exact checkpoint+candidate source0.526440(61.18% retained); legal inherited1.014314; legal full-depth1.000775; factorized checkpoint+exact source3.499; depth12 retain18.87%,1.000775,Legal candidates neutral/harmful,2.892195,Inherited6.744B; full-depth10.310B,Closed tested recurrence/checkpoint forms,High against tested implementations,Moderate only with fundamentally better absolute checkpoint,Preserve exact interface; require projected complete ratio<=0.4568 before reopening,JOINT_SCALAR_RECURRENCE_REPORT,
M108,Layer31,Target-free coordinate support across rotations,Sandbox frozen full-width,"Width256 synthetic N=8; two complete-design rotations; two independent 524,288-row Sobol references per split/network",8,0,0,No,"K32 Basis-PCA captured 53.21%/38.90%; sparse-Hermite 51.08%/36.50%. Both 8/8 wins on both rotations, but no selector met >=50% capture on every rotation. Median cross-rotation support overlap was 0.875/1.000, so support identity was stable while oracle-gap capture was rotation dependent.",,8/8 both rotations,PCA 0.848/0.782; Hermite 0.945/0.807,Oracle-amplitude/high-reference diagnostic; Stage B not run,Closed tested target-free support families,Moderate-high against tested selectors; low against all rotation-aware representations,Layer31 mechanism remains winning-scale; fixed coordinate deployment now low,"Stop coordinate selector sweeps. Any revival must use a rotation-aware mode/subspace or direct-output target, not a fixed sparse coordinate set.",TARGET_FREE_LAYER31_SUPPORT_REPORT / HIGHREF_RESULTS / STAGE_B_SOURCE_AUDIT,
M109/M110,Direct-output control,Fresh sparse radial-Hermite exact-anchor validation and ablation,Sandbox frozen full-width,Width256/depth32 synthetic IDs 1000–1023; exact Kerdock geometry; independent anchor/evaluation streams and two reference halves,0,24,0,No,"Complete exact anchor candidate/base 0.427073, 95% CI [0.329203,0.542314], 24/24, worst0.985945; noise-corrected estimate0.147524, upper CI0.286359. Lower-only0.421527; connected-only1.008336; mean omitted1.886385; pair moments omitted16.319718; rank16 energy70.54%.",0.427073,24/24,0.985945,"Nondeployable oracle: 262,144 extra trajectories per network; feature/fitting cost alone is not useful without a legal anchor",Fresh oracle mechanism passed; deployable anchor unresolved,Moderate-high mechanism; residual reference-noise caveat,Winning-scale oracle ceiling,Freeze the 128 lower-order scalar anchor contract. Test only legal estimators of selected means and pair moments; require >=70% oracle-reduction retention and positive adjusted score. Do not spend on connected c21 or rank16 compression.,REPRODUCTION_REPORT / MANIFEST / FROZEN_VALIDATION_RESULTS / COMPONENT_ABLATION / PASS_FAIL_CERTIFICATE,
A39,Shipping,Production partial-tree compiler comparison,Official/public Mini-100 local runner,100 official Mini networks,0,100,0,Official/public Mini opened,"Baseline adjusted 1.4736806e-7 at 175.62B. two_layer ratio 1.02796 [1.0233,1.0329], 8/100, worst 1.0971, 181.13B. fixed_three 1.04162 [1.0332,1.0507], 9/100, worst 1.1522, 182.93B. adaptive_2_6 1.11956 [1.1120,1.1267], 0/100, worst 1.2340, 196.08B. All regressions are tracked arithmetic; no fallbacks.",1.11956,0/100 adaptive,1.234,Exact current-package FlopScope in completed local official run,All compiler variants closed; baseline retained,High,None for tested compiler package,Do not retune or recalibrate compiler variants. Preserve code only as arithmetic/diagnostic infrastructure.,Post-cutoff completed official transcript; raw bundle unavailable in shared Library,
M111,Layer31,Frozen universal alpha0.40 radial-Hermite continuation,Sandbox frozen full-width,Width256 synthetic networks32–47,0,16,0,No,"candidate/base0.7290 [0.5567,0.9148],14/16,worst1.5827,capture35.6%; high-ref hybrid about0.680,15/16,worst1.465,capture37.3%. Direct anchor and g31 replay tied.",0.729,14/16,1.5827,Optimistic adjusted0.7743; replay extra cost not justified,Closed tested universal-shrink branch,High against exact branch,Average mechanism signal only,"No more universal shrink, mode, replay or confidence-gate sweeps.",RADIAL31_CONTINUATION_REPORT / SUMMARY,
M112/M113,Layer31,Uniform independent low-dimensional oracle anchors,Sandbox fresh full-width,"Width256 N=24 with independent524,288 target and anchor samples; hard-rotation panel4x3",0,24,0,No,"K32 raw0.4030,noise-corrected0.3272,capture80.56%,23/24,worst1.1069. K128 raw0.3218,noise-corrected0.2357,capture91.53%,24/24,worst0.9811. Direct control tied replay; replay adds8.657B. Hard rotations expose no-headroom tails.",0.3218,24/24,2.621,Oracle anchor only; direct control avoids8.657B replay,Oracle mechanism validated; legal sign/scale and abstention unresolved,Moderate-high mechanism / no deployable evidence,Winning-scale,"Freeze K32 target, K128 ceiling; test legal anchor estimator and no-headroom confidence.",INDEPENDENT_LAYER31_RESIDUAL_FINAL_REPORT / UNIFORM results / rotation panel,
M115,Sparse radial-Hermite / scale,Frozen bounded exact-K32 scale,Immutable high-reference synthetic,12 new base networks × rotations3/11/97,0,36,0,No,"Bounded0.55/0.45 ratio0.52707 CI[0.47764,0.58312],36/36,worst0.88546; fixed0.50 ratio0.54989,worst0.89195.",0.52707,36/36,0.88546,Oracle anchor only; negligible scale logic,Oracle mechanism validated,High for scaling / zero legal-anchor evidence,Winning-scale once direction is legal,Use fixed0.50 as default; do not infer high-risk branch validation.,PATH2_CONTINUATION_REPORT / FRESH_SCALE_HOLDOUT_RESULTS,
M119,Legal signed anchor,Full companion lower-moment estimator,Fresh full-width synthetic,Primary rotation3 + full rotation97 through layer29; N=24,0,24,0,No,"Frozen full companion raw0.772831,noise-corrected0.747783,19/24,worst1.519876; adjusted proxy1.4958.",0.772831,19/24,1.519876,Heavy propagation≈1.935x,Mechanism validated / deployment rejected,Moderate-high mechanism,Large raw but no economic route,Retain independent angular phase; compress companion.,DIRECT32_DEFECT_ESTIMATOR_REPORT,
M120,Legal signed anchor,16-basis compact companion,Post-hoc exposed frontier,Same N=24 block as M119,24,0,0,No,"16 bases,rotation97,10% shrink raw0.848861,19/24,worst1.201863,adjusted proxy0.947353 CI crosses1.",0.848861,19/24,1.201863,Cost proxy1.116; exact FlopScope pending,Live post-hoc candidate,Low-moderate until immutable validation,Potential5% adjusted,Freeze and validate once; include5% safe comparator.,DIRECT32_DEFECT_ESTIMATOR_REPORT / FRESH_FRONTIER,
M121,Sparse lower-order center,Center structure and pair-moment ablation,Full-width synthetic diagnostics,24 development +8 higher-reference,24,8,0,No,Local lower matrix rank2 energy0.999948 but span includes unknown d. Exact-center sample-pair ratio0.88991 vs exact-pair0.88935.,0.88935,Diagnostic,1.92074,Same-cloud pair reductions nearly free,Target decomposition validated,Moderate,Large simplification,Estimate d contractions only; free covariance/pairs.,CONTINUED_EXPERIMENTS_REPORT / PAIR_MOMENT_ABLATION,
M122,Independent micro-cubature,EC-R32-MEG width256 confirmation,Fresh full-width synthetic,24-network rank32 confirmation plus rank frontier,8,24,0,No,"Oracle-center rank32 ratio0.868619,16/24,worst2.263; ranks32–80 plateau0.732–0.756; pilot center1.133.",0.868619,16/24,2.263449,9.3B at rank32; up to12.8B rank80,Closed tested family,High,None as absolute anchor,Preserve only residual harness after external anchor.,AGENT3_CONTINUATION_REPORT / DECISION,
M125,Legal signed anchor,Thirteen legal continuation constructions,Architecture-matched synthetic,Multiple frozen blocks; IDs4000–4262 exposed,0,8,0,No,"Best repeatable transport-only state0.9386845,5/8,worst1.1019; pilot/source gates repeatedly reversed with2.5–3.2 tails.",0.9386845,5/8,1.1019004,Transport≈2–4B projected,Weak baseline only / tested forms closed,High against tested constructions,Small residual feature,Retain state only as companion control variate candidate.,CONTINUATION_REPORT / RESULTS_SUMMARY,
M127,Legal signed anchor,112+17 partial-MUB absolute anchor,Frozen actual-width synthetic,"12 train,4 calibration,8 untouched validation",12,8,0,No,"chirp17_r3 alpha0.20: validation0.9427,4/8,worst1.482; propagation ratio0.9918 and adjusted proxy≈0.935 before small overhead.",0.9427,4/8,1.482,Near compute-neutral basis replacement; exact accounting pending,Leading live mechanism / unsafe tails,Moderate,Positive average adjusted proxy,Pair with <=4-basis safety probe on a new immutable cohort.,Independent Anchor and Partial MUB report,
M128,Legal signed anchor,Paired replacement phase probe,Actual-width synthetic development,12 networks; block frontier1–32,12,0,0,No,"17-basis paired raw0.959,10/12,worst1.036 but too costly;2-basis raw0.9816,adjusted proxy≈0.996; safer worst1.064.",0.959,10/12,1.036,2 bases≈1.45% added propagation,Live safety mechanism,Moderate development evidence,Tail detection / orientation selection,"Develop frozen1–4-basis gate, not standalone submission.",Independent Anchor and Partial MUB report,
C65,Network-specific coresets,Structured support library and selector consolidation,Exact-geometry synthetic,1 smoke +8 development +32 training +16 exposed validation,41,16,0,No,"Full128-support library covered every resolved network; top8 covered30/32 training,8/8 dev,15/16 prior validation. Completed selectors maxed6/8 dev with unsafe tails.",,Portfolio coverage,Selector worst up to3.335e-7,Selector savings vary; early Gramian gross upside large,Existence validated / selectors closed,High completed evidence,High only if final codebook selector works,Finish C66 only; preserve assets.,PATH5_CONSOLIDATED_RESULTS_REPORT,
A43,Implementation,Fused512-row full-depth streaming,Local exact shape,"66,048 rows ×32 layers; multi-seed numerical panel",1,0,0,No,"63.995s→25.702s,2.490x; peakRSS2.172GiB→0.375GiB; RMS drift3.42e-12; projected170.383B, saving0.524B tracked ops.",1,Numerical parity,Numerical parity,Official subprocess pending,Primary implementation candidate,High local / pending official,Compute-only score gain,Run paired official baseline/A42/A43 and integrate selected-basis companion.,PATH6_CONTINUATION_REPORT,
M116,Learned sign/scale/abstention,Frozen l08 apply/abstain gate audit,Immutable exact-oracle plus independent legal-estimator panels,"12 exact groups +16 legal groups, rotations3/11/97",0,84,0,No,"All36 exact cases below threshold; caught0/3 severe K32 tails,worst unchanged2.479. Legal panel made0 new decisions,caught0/6 tails,worst unchanged1.333. Fixed112 scout worsened adjusted0.366→0.387.",1,No decisions,2.479162,Adds scout cost; no statistical value,Closed frozen gate,High,None as gate; metadata only,Retain l08_fold_rel_mean only as exploratory between-network difficulty metadata.,EXPERIMENT_REPORT(3).md / DECISION(2).md,
M130,Sparse lower-order center,Independent selected pair-moment ablation,Fresh full-width synthetic plus high-reference diagnostic,128 probes; N=24 full-companion-center block,24,0,0,No,"Independent pairs0.726008 versus primary pairs0.726019; difference-0.000010,95%[-0.000390,+0.000366],20/24,worst1.231/1.235; cosine0.999999479.",0.726008,20/24,1.231,Independent pair propagation is pure avoidable cost; primary fused accumulation is near-free,Closed standalone / primary pair module retained,High against independent pair estimation,Target simplification only,Estimate256 external center contractions; retain256 primary pair scalars.,PAIR_TARGET_DERIVATION.md / DECISION(4).md,
M131,Kerdock allocation,Actual fixed112 legal scalar package,Preregistered compatibility execution,5 new base networks before hard stop,0,5,0,No,"Fixed112 scalar rescue raw1.013228,adjusted0.896245,worst1.578572; guard caught0/8 harmful cases; baseline-only fixed112 worst1.715077.",1.013228,Stopped early,1.578572,Modeled compute saving but no official subprocess measurement,Closed by hard stop,High against this package,None for current scalar anchor,Preserve129 baseline; reopen allocation only after a new anchor passes at129.,DECISION(3).md,
M132,Legal signed anchor,Partial-MUB plus paired safety immutable study,New grouped synthetic,32 bases×3 rotations;16/8/8 split,24,24,24,No,"Frozen hybrid validation raw1.120,4/8 group wins,row worst2.630,group worst1.819,CI[0.985,1.308],adjusted lower bound1.143.",1.12,4/8 groups,2.63,112+17 near-neutral propagation; official FlopScope unavailable,Closed immutable architecture,High against tested policy,None,Do not retune amplitude/paired/nested/basis-removal gates.,REPORT(10).md,
M134,Legal signed anchor,Eight-orientation companion codebook,Fresh preregistered synthetic,8 bases×3 rotations,0,24,0,No,"Oracle best8 raw0.596,adjusted0.651,21/24,worst1.241; legal selectors raw1.008–1.018,worst2.10–2.50.",0.596,21/24 oracle,1.241,Oracle cost survives; legal selector does not,Selector closed / oracle labels retained,High against tested selectors,Large oracle ceiling only,No more orientations absent new observable.,PRIORITY6_REPORT.md,
M136,Sparse lower-order center,Orthogonalized selected contractions,Exposed development,24 direct32 companion networks,24,0,0,No,"Best16-basis CF-GREG0.823,21/24,worst1.207,21.4B added; best sub14B0.941,14/24,worst1.235.",0.823,21/24,1.207,Budget-relevant arms fail,Scoped closure / module retained,Moderate-high,Small diagnostic gain,Reuse only nearly free inside another accepted package.,PRIORITY7_REPORT.md,
M137,Legal signed anchor,Analytic-companion blend,Sequential frozen + grouped rotation audit,16 primary networks;12 bases×2 rotations,0,40,0,No,"Compact blend0.841 primary16 and0.879 grouped24,worst1.173; projected adjusted≈0.991 tied components. Partial route tails1.84–5.8.",0.879,20/24 grouped,1.173,Projected only; no official FlopScope,Closed deployable blend,Moderate-high,Diagnostic reference only,Retain transport feature and compact blend diagnostics.,PRIORITY8_FINAL_REPORT.md,
C67,Network-specific coresets,Final codebook/selector campaign,Frozen exact-geometry validation,128 train bases×3;32 validation×3,384,96,0,No,Oracle support codebook passed96/96; selector43/96; uniform/frozen weights0/96; frozen-weight mean≈7157× oracle.,,43/96 selector,3.354e-7 selected-support worst,Projected22.77B only if selector worked,Path5 closed,High,None deployable,Preserve codebooks/labels only.,DECISION(6).md,
A46,Evaluation infrastructure,Exact official Mini-100 target harness,Official exposed benchmark,100 Mini networks,100,0,0,No,Recreated scripts and frozen asset are persisted. Synthetic contract and archive integrity pass exactly at 2.28259132946107e-7; raw parquet clean-checkout rerun is pending because the dataset/runtime are absent here.,1,Archive exact; raw pending,Archive exact,Local bundle; raw cost not run,Implementation persisted / raw proof pending,High code integrity; raw certification pending,Large tooling value,Run raw 100-network gate in pinned local environment and retain generated cache/manifests.,arc_whitebox_continuation_20260729 bundle,
M141,Final-stage moment closure,Matched-N Edgeworth versus empirical,Official exposed Mini-100,100 networks,100,0,0,No,Reported approximately 0.979 ratio/neutral; median |mu/sigma| 3.52 and moment/direct variance both 9.088e-7. Recreated diagnostic script is persisted; original scratchpad source is unavailable.,0.979,Not reported,Not reported,No new trajectories,Closed same-data form / recreated script persisted,Moderate,Oracle floor only,Reopen only with independent or controlled moments.,Pasted text(57).txt / recreated script,
M142,Partial-design controls,Layer1 exact-mean control vs basis count,Official exposed Mini-100,"2–128 bases, 100 networks",100,0,0,No,Correct block-level fit ratio 1.005 with 24–55/100 wins; pointwise ridge fit was harmful. Reconstructed script is persisted but is not claimed byte-identical to the missing scratchpad.,1.005,24–55/100,Not reported,Small control overhead,Closed tested B1 / reconstructed script persisted,Moderate-high,None,No composition descendants.,Pasted text(57).txt / reconstructed script,
M144,Kerdock allocation,Exact Mini basis-count scaling,Official exposed Mini-100,43x point-count range,100,0,0,No,MSE approximately N^-1.150 and score approximately N^-0.150; 128 bases gives 0.569x score versus 2 bases. Cache-driven diagnostic is persisted; raw cache regeneration remains pending local data.,0.569,Aggregate,Not reported,Local exact score proxy,Mechanism resolved locally / code persisted,Moderate-high,Avoid floor operation,Do not spend official submissions unless packaging contradicts the exact harness.,Pasted text(57).txt / recreated diagnostics,
A47,Arithmetic deployment,Production/A42/A43 frozen package,Official-shape local instrumentation,Frozen full-design packages,0,0,0,No,Pristine bundle and hashes pass. A42/A43 are locally identical. A43 tracked FLOPs 170382691584 versus 170906815488 for production/A42; saving 524123904. Residual-wall break-even 5.24123904 ms.,,Local exact parity,Not applicable,Tracked counts exact; official residual wall pending,Frozen official package / official grade pending,High for package integrity; no official performance claim,Small certain tracked saving if wall neutral,Run production/A42/A43 official subprocesses; use delta64 only for marginal-cost calibration.,T0 final bundle / continuation local audit,
