ID,Evidence level,Family,Experiment,Result,Verdict,Primary source
C17,Synthetic,Sampling design,Eight pairwise-MUB bases under a common rotation,Effective variance 0.0198 vs Haar 0.0298 vs Sobol 0.0418; about 2.1x better than Sobol in that test.,Promising synthetic result,Pasted text (3).txt
C18,"Synthetic width 256, 32-network bootstrap",Sampling design,"IID, Sobol, orthogonal, and generic antipodal pilots","Orthogonal/IID next-sigma ratio 1.006 with wide interval [0.92,1.09]; mean MSE favored orthogonal over IID by ~1.70x [1.02,2.71]; generic antipodal helped means but hurt covariance.",Uncertain; reference noise large,Pasted text (2)(1).txt
C19,Synthetic width 256,Sampling design scaling,"4,096-point IID, Sobol, orthogonal pilots","Next-sigma errors: IID 1.53%, Sobol 1.44%, orthogonal 1.49%; mean sampling constant improved about 25–40%.","Modest gain, not decisive",Pasted text (2)(1).txt
C20,Official development,QMC variant,Interlaced order-2 Sobol,1.30x worse than ordinary approach.,Failed,PUBLIC_POST.md
C21,Official development,Geometry,Random two-dimensional plane angular integration,1.66x to 4.17x worse than Sobol.,Failed,PUBLIC_POST.md
C22,Official development,Extrapolation,Nested Richardson extrapolation,9.3e-7 vs 9.2e-7 direct.,No gain,PUBLIC_POST.md
C23,Official development,Last-layer approximation,Terminal smoothing,"Reported ratios 0.45x–0.97x across variants, described as no-op at best; gain convention was not consistently documented.",Inconclusive / not adopted,PUBLIC_POST.md
C24,Official development,Analytic integration,Exact Gaussian-line propagation,"6,081x worse at 90–96% of budget.",Catastrophic failure,PUBLIC_POST.md
C25,Official development,Analytic proxy,Smoothed-delta forward-Laplacian proxy,"360,482x worse.",Catastrophic failure,PUBLIC_POST.md
C26,"Synthetic width 256, 6,144 points",Structured sigma sampling,"IID Gaussian, random orthogonal bases, Kerdock subsets, and Sobol for raw layerwise sigma",Squared relative sigma error: Gaussian 9.47e-5; orthogonal 6.91e-5 (1.37x gain); Kerdock subset 7.91e-5 (1.20x); Sobol 1.07e-4.,Modest positive for orthogonal pilots,CONTINUED_EXPERIMENT_REPORT.md
C27,Synthetic matched-cost and doubled-cost sweeps,Structured sigma sampling,Same-cost mixtures and doubled-compute blends of sampling designs,"Best same-cost mixture gained about 1.09x; doubled-compute optimal blend gained 1.66x MSE, below the 2x needed to offset cost.",Closed / score-negative,CONTINUED_EXPERIMENT_REPORT.md
C28,Synthetic network-adaptive sampling,Adaptive sampling geometry,Jacobian/eigenvector-derived point sets,Concentrated samples into too few activation regions and performed hundreds to thousands of times worse in tested cases.,Strongly failed in tested form,CONTINUED_EXPERIMENT_REPORT.md
C29,"Synthetic width 256; 24 paired networks; 4,096 points",Haar moment pilot,"Powered one-step comparison of IID, Sobol antipodal, signed-Hadamard bases, and Haar-orthogonal antipodal bases","Next-layer sigma RMS: IID 1.4201%, Sobol 1.3609%, signed-Hadamard 1.3790%, Haar 1.3352%. IID/Haar ratio 1.0636; paired 95% CI [1.0220, 1.1093].",Robust incremental Haar improvement,CONTINUATION_REPORT.md
C30,Synthetic width 256; 76 paired cases,Haar vs Sobol,Combined Haar-versus-Sobol comparison for sigma and final means,"Final direct and recursive Edgeworth means were statistically tied. Haar sigma RMS 1.3726% versus Sobol 1.4195%; Sobol/Haar ratio 1.0342, 95% CI [1.0153, 1.0547].","Haar preferred for moment estimation, not proven for final score",CONTINUATION_REPORT.md
C31,Synthetic width 256; 24 paired networks,Haar point-count scaling,"Sigma RMS at 512, 1,024, 2,048, and 4,096 points",Haar beat IID at every size: 2.964% vs 3.399%; 2.213% vs 2.497%; 1.698% vs 1.908%; 1.360% vs 1.498%.,Consistent variance-constant reduction,CONTINUATION_REPORT.md
C32,Synthetic width 256; 24 paired networks,Haar point-count scaling,"Recursive fourth-order Edgeworth final MSE under IID, Haar, and Sobol pilots","IID/Haar MSE ratios: 1.58, 1.65, 1.82, and 1.62 at 512, 1,024, 2,048, and 4,096 points; every paired interval excluded no improvement. High-count absolute differences were truth-noise limited.",Strong synthetic evidence; official validation required,CONTINUATION_REPORT.md
C33,Synthetic width 256; 27 networks,Haar floor-filling sweep,"Haar pilots at 4,096, 5,120, 6,144, and 6,656 points",Sigma RMS improved 1.226% -> 1.135% -> 1.066% -> 1.044%; observed Edgeworth MSE approached the 6.70e-6 reference-noise floor.,"Supports 5,632–6,144 official test range",CONTINUATION_REPORT.md
C34,Synthetic fixed-total-count comparisons,Sampling mixtures,"Full Sobol, full Haar, 50/50 and 25/75 mixtures, and split Sobol scrambles",50/50 matched Sobol and remained worse than Haar for sigma; 75% Haar mixture was worse on both objectives; split Sobol did not help.,Closed; use one coherent design,CONTINUATION_REPORT.md
C35,Synthetic discovery then 28-network validation,Point-set selection,"Select a lucky fixed 6,144-point Haar seed","A discovery-suite 40% advantage disappeared on new networks; fresh/fixed Edgeworth ratio 1.110 with 95% CI [0.812, 1.418], and fixed sigma was slightly worse.",Selection noise; closed,CONTINUATION_REPORT.md
C36,Synthetic geometric search,Hadamard geometry,Random signed-Hadamard sign/permutation search for Kerdock-like geometry,Fourth frame potential stayed near 3 rather than the MUB value 1; random search barely changed it.,Not a route to Kerdock geometry,CONTINUATION_REPORT.md
C37,Synthetic width 256,Fast orthogonal approximations,"One-, three-, and five-factor randomized Hadamard products versus dense Haar QR",Sigma RMS: Haar 1.3536%; one factor 1.3826%; three factors 1.3947%; five factors 1.3952%. Similar low-order frame potentials did not recover Haar performance.,Dense Haar statistically best; fast transform only fallback,CONTINUATION_REPORT.md
V01,Official development,Control variate,Spherical Stein directional control variate,2.10x worse than baseline.,Failed,PUBLIC_POST.md
V02,Official development,Control variate,"Degree-2 spherical harmonic control, theoretical coefficient",54x worse.,Failed,PUBLIC_POST.md
V03,Official development,Control variate,Tempered degree-2 harmonic control,0.98x; statistically indistinguishable.,Neutral,PUBLIC_POST.md
V04,Official development,Control variate,"Quadratic controls, rank 16 and rank 32",1.011x and 1.029x; harmful.,Failed,PUBLIC_POST.md
V05,Official development,Control variate,Cross-fitted layer-1 linear control,"Raw MSE ratio 0.93x, but cost about 3% of budget; net score wash.",Neutral after cost,PUBLIC_POST.md
V06,"Synthetic, oracle moments",Final integration,"Degree-1, degree-2, and degree-4 Hermite control variates","With 8,192 samples: sample mean 6.94e-7; degree 1: 1.13e-8 (61x); degree 2: 1.92e-8; degree 4: 4.39e-8. Degree 1 was best.",Huge oracle upper bound,Pasted text (4).txt
V07,Synthetic,Recursive estimator,Naive recursive linear mean control variate,Collapses algebraically back to the sample mean.,No independent benefit,Pasted text (4).txt
V08,Synthetic,Recursive estimator,Exact layer 1 before recursive control variate,Final MSE 2.953e-6 → 2.864e-6; all-layer 6.012e-6 → 4.924e-6.,Small gain,Pasted text (4).txt
V09,Synthetic,Structural closure,Conditional-Hermite structural closure,About 1.68x gain.,Modest positive,Pasted text (4).txt
V10,Synthetic,Covariance correction,Radial covariance deconvolution,About 1.06x gain.,Tiny positive,Pasted text (4).txt
V11,Synthetic,Multilevel estimation,Affine-tail multilevel Monte Carlo,First two networks predicted 1.9–3.5x efficiency; direct validation after training gave 1.26x vs ~2.7x predicted.,"Small real gain, model overoptimistic",Pasted text (4).txt
V12,Oracle synthetic width 256,Local variance control variate,Linear surrogate g = diag(Phi(mu/sigma))(z-mu) with true surrogate variance,"6,000-sample sigma error fell from 2.07% to 0.65%; late layers reached roughly 0.42–0.45%.",Real oracle variance-reduction mechanism,CONTINUED_EXPERIMENT_REPORT.md
V13,Deployable synthetic width 256,Local variance control variate,Same local surrogate with analytically approximated surrogate variance,The surrogate variance was wrong by about 7%; reported error worsened from roughly 2.33% to 6.82%.,Failed because anchor expectation is inaccurate,CONTINUED_EXPERIMENT_REPORT.md
V14,Synthetic doubled-stream test,Local variance control variate,Estimate surrogate variance using an independent orthogonal or Kerdock stream,Reduced error only 13–16% while approximately doubling compute.,Score-negative,CONTINUED_EXPERIMENT_REPORT.md
V15,Synthetic width 64 and 256,Recursive homogeneous residual estimator,"Recursive residual correction using Gaussian, Sobol, orthogonal, or Kerdock-subset directions","At width 64 structured directions helped strongly; at width 256 results were Gaussian 3.95e-6, Sobol 2.33e-6, orthogonal 4.42e-6, Kerdock subset 3.63e-6.","Some direct-QMC gain, not a competitive recursive correction",CONTINUED_EXPERIMENT_REPORT.md
V16,Synthetic width 256,Recursive covariance sketch,"Reduce recursive covariance correction from 6,000 rows to 128 rows",Predictions changed negligibly; estimated total compute fraction was about 10.4%.,"Useful implementation fact, insufficient accuracy",CONTINUED_EXPERIMENT_REPORT.md
V17,Synthetic width 256; 21 networks,Recursive affine control variate,Affine Gaussian-sample recursive CV with 128-row covariance sketch,Final mean MSE 6.92e-6 -> 4.06e-6 (1.71x); 90% of networks improved; projected adjusted proxy 4.2e-7. Separate held-out blend gain was only about 1.22x.,Legitimate improvement but worse than Kerdock,CONTINUED_EXPERIMENT_REPORT.md
V18,Algebraic identity + numerical validation,Recursive homogeneous control variate,Apply homogeneous recursive correction to full antipodal Kerdock design,Recursive and direct Kerdock predictions agreed to approximately 1e-12 because the homogeneous recursion telescopes.,Exact no-op; branch closed,CONTINUED_EXPERIMENT_REPORT.md
V19,Synthetic depth sweep,Hermite control variate,Exact degree-1 Hermite controls across layers,Helped early layers slightly but lost usefulness with depth.,Not a full-depth solution,CONTINUED_EXPERIMENT_REPORT.md
V20,Synthetic paired point-count sweep,Final-output blending,"Blend direct radial pilot means with Edgeworth predictions from the same pilot at 512–4,096 points",Best scalar blends improved MSE by only about 0.01–0.14%; all paired intervals included no improvement.,Closed; errors too redundant,CONTINUATION_REPORT.md
V21,"Synthetic 6,144-point Haar; 20 train / 20 held-out networks",Final-output blending,"Direct Haar radial mean, fourth-order Edgeworth, tuned blend, and equal average","Held-out MSE: direct 6.93e-6; Edgeworth 7.70e-6; tuned blend 7.00e-6; average 7.13e-6. Direct/blend ratio 0.990, 95% CI [0.955, 1.025].",Direct/Edgeworth blend rejected,CONTINUATION_REPORT.md
M01,Official-like benchmark,Moment propagation,Full Gaussian mean/covariance propagation,"Final MSE 6.19e-5, roughly 270x worse than strong sampling.",Failed baseline,PUBLIC_POST.md
M02,Oracle,Moment propagation,Gaussian marginals with exact per-layer mean and covariance,"MSE 1.25e-6, around Monte Carlo parity.",Shows Gaussian marginal ceiling,PUBLIC_POST.md
M03,Oracle,Marginal approximation,Edgeworth with κ3,MSE 1.86e-7 vs Gaussian 1.25e-6.,Strong improvement,PUBLIC_POST.md
M04,Oracle,Marginal approximation,Edgeworth with κ3 and κ4,"MSE 3.84e-8, about 32x better than Gaussian oracle.",Best oracle marginal model,PUBLIC_POST.md
M05,Oracle,Marginal approximation,Edgeworth extended through κ5 and κ6,MSE worsened to 4.37e-8.,Higher order did not help,PUBLIC_POST.md
M06,Official-like,Hybrid moments,Propagate mean; sample sigma and cumulants,Measured MSE ~6.0e-6 vs 9.6e-6 predicted.,Failed to beat sampling,PUBLIC_POST.md
M07,Official-like,Sigma sampling sweep,Replace propagated sigma with sampled sigma at 6k/25k/67k/400k samples,Sigma error 1.83%/0.89%/0.55%/0.22%; MSE 3.62e-6/1.10e-6/2.81e-7/1.48e-7. Best in-budget adjusted score still worse than cubature.,Characterized target; not competitive,STRATEGY(1).md
M08,Oracle injection,Precision requirement,Independent sigma-error injection across layers,Originally implied ~0.1% sigma accuracy; later shown too pessimistic because injected noise structure was unrealistic.,Superseded diagnostic,PUBLIC_POST.md; STRATEGY(1).md
M09,Oracle injection,Layer patching,"Exact covariance at six worst layers, 19 deep layers, or all layers",MSE: none 2.82e-5; six layers 9.23e-6; 19 layers 5.28e-6; all 32 layers 2.82e-7.,Local patches fail; errors reappear,STRATEGY(1).md
M10,Oracle injection,Mean vs sigma ablation,Supply exact means alone or exact means and sigmas from layers 5/25/31,From layer 25: mean only 1.29e-5 vs mean+sigma 3.08e-7; about 42x gap attributable to sigma over last eight layers.,Sigma was dominant in this architecture,STRATEGY(1).md
M11,Oracle injection,Neuron targeting,Exact sigma only for neurons with |μ/σ| below thresholds,τ=1 (32% neurons): 9.76e-6; τ=2 (54%): 8.48e-7; τ=3 (73%): 2.44e-7; all: 2.43e-7.,Need most neurons recursively,STRATEGY(1).md
M12,Held-out calibration,Sigma correction,"Per-layer and per-(layer, |t|) calibration","Per-(layer,|t|) held-out ratio 0.96x; earlier per-layer version much worse. No useful gain in tested calibration families.",Failed tested calibrations,STRATEGY(1).md
M13,Oracle / diagnostics,Rank analysis,Activation covariance effective-rank collapse,Effective rank fell from about 160–165 to 2.7–3 by depth 32.,Important structural diagnostic,PUBLIC_POST.md; Pasted text (2)(1).txt
M14,Oracle / diagnostics,Mixed cumulant rank,Low-rank approximation of third cumulant,"At layers 26/30, covariance rank ~3 but κ3 needed rank around 64 for small error; r=8 errors ~0.29, r=64 ~0.03–0.05.",Killed naive low-rank κ3 route,PUBLIC_POST.md
M15,Official-like,Particle representation,Rank truncation of activation batch,Rank 8 over only last four layers produced about 600x the noise target.,Failed catastrophically,PUBLIC_POST.md
M16,Official-like,Distribution handoff,"Fit a Gaussian at layer k, sample from it, then propagate exactly",About 5e-6 for every handoff layer k=2…28.,Failed; distortions amplified,PUBLIC_POST.md
M17,Synthetic / rollout,Learned moment map,Teacher-forced learned closures vs free rollout,Free rollout was 16–21x worse than teacher-forced.,Failed due state/rollout mismatch,PUBLIC_POST.md
M18,Official-like,Edgeworth covariance,Correct covariance diagonal only,Sigma error 3.70% → 3.64%.,Failed; error mostly off-diagonal,PUBLIC_POST.md
M19,Synthetic width 64,Spectral correction,Shrink dominant covariance eigenvalue by 7.5–10%,Reduced Gaussian-closure MSE roughly 2.3–2.5x across 32 networks.,Repeatable but far from competitive,Pasted text (3).txt
M20,Synthetic,Hybrid covariance,Blend sampled moments/covariance with Gaussian closure,Did not beat direct sampling at equal sample count; another experiment improved 9.80% → 4.61% but remained worse than direct methods.,Failed as a competitive hybrid,Pasted text (3).txt; Pasted text (5).txt
M21,Synthetic oracle,Closure-error spectrum,Best rank-r approximation of covariance correction,At depth 32: rank 8/12/16/24/32 gave next-sigma error 1.06%/0.76%/0.50%/0.29%/0.22%.,Residual is compressible in oracle form,Pasted text (4).txt
M22,Synthetic pilot,Closure-error spectrum,"Estimate low-rank correction from 8,192 pilot samples",Stayed around 2.2% error despite oracle rank-16 reaching 0.5%.,Failed to identify subspace,Pasted text (4).txt
M23,Synthetic,Rare-switching hypothesis,Measure switching after apparent gate stabilization,"Median |μ/σ| ~3.31, but about 12.8 sign deviations/input and sensitivity-weighted switching around 30%.",Rare-switching expansion not justified,Pasted text (2)(1).txt
M24,Synthetic,Pruning,"Classify neurons always-on/off from 1,200-input pilot","About 39% appeared stable, but some had true missed-switch probabilities ~0.4–0.46%.",Exact pruning unsafe,Pasted text (2)(1).txt
M25,Analytic,Homotopy,Globally scale positive weights to simplify gates,Positive homogeneity leaves activation regions and standardized moments unchanged.,Dead analytically,Pasted text (2)(1).txt
M26,Synthetic,Pair distribution model,Naive Gaussian mixture and Gaussian-copula models,Neither beat directly estimating the target moment from the same pilot samples.,Failed implementations,Pasted text (2)(1).txt
M27,Synthetic held-out,Learned pairwise correction,Universal symmetric bivariate residual model with oracle current moments,Held-out residual R² 0.85; residual RMSE improved 2.84x; one-step next-sigma 3.18% → 1.62%; width-256 check about 2x.,Strong one-step oracle result,Pasted text (2)(1).txt
M28,Synthetic held-out,Learned pairwise correction,Extended model with accurate current-layer moments,"Next-sigma 2.93% → 0.75%; at width 256, 1.45% → 0.60%.",Near target with oracle moments,Pasted text (2)(1).txt
M29,Synthetic held-out,Learned pairwise correction,"Same model using 900–1,200-sample pilot moments","900 samples: 3.69% vs direct empirical covariance 3.13%; width 256/1,200: 2.33% vs empirical 2.29%.",No deployment gain,Pasted text (2)(1).txt
M30,Synthetic free rollout,Learned covariance recursion,Full recursive rollout,"Final sigma error 25.3% → 14.2%, but final mean MSE worsened 3.23e-4 → 1.11e-3.",Improves target but hurts final output,Pasted text (2)(1).txt
M31,Synthetic free rollout,Mean/covariance ablation,Edgeworth mean alone; learned covariance with Gaussian mean; both together,Edgeworth mean alone: 3.23e-4 → 1.59e-4. Learned covariance + Gaussian mean: 2.57e-4. Full combination failed.,Components individually help; inconsistent jointly,Pasted text (2)(1).txt
M32,Synthetic free rollout,Damping,Scale Edgeworth mean correction on top of learned covariance,25% roughly neutral; 50% already worse.,Did not resolve inconsistency,Pasted text (2)(1).txt
M33,Synthetic scaling,Pilot denoising,Increase pilot size and train residual denoiser,"Model fit R² ~0.98, but learned all-pairs covariance was worse than empirical at every sample size; at 4,800, empirical 2.17% vs learned 3.87%.",Failed,Pasted text (2)(1).txt
M34,Synthetic,Direct downstream training / shrinkage,Optimize correction for downstream sigma and shrink toward empirical covariance,Optimal solution was effectively 100% empirical covariance.,No learned advantage,Pasted text (2)(1).txt
M35,Synthetic held-out,Pairwise closure,"O(n²) closure using c21, c31, c22, correlation, skew, kurtosis","Gaussian map 9.80%; accurate moments 1.48%; moments from 1,000 samples 2.41%; transfer retained ~3.0–3.7x improvement on deeper/wider networks.",Promising synthetic local law,Pasted text (5).txt
M36,Held-out,Cheap residual learning,Per-neuron EMP residual regression on local features,Train R² 0.177; held-out R² −0.118.,Failed / overfit,STRATEGY(1).md
M37,Synthetic,Linear residual control variate for covariance,Decompose ReLU residual around D(z−μ) and sample only nonlinear residual,"Width 64/depth 32: Gaussian 4.32%; direct sample 8,192: 0.886%; CV 4,096: 0.441%; CV 8,192: 0.290%; cross-fit 0.304%; oracle regression 0.159%.","Excellent synthetic result, not validated at target scale",Pasted text (4).txt
M38,Synthetic,Factor model,Low-rank factors plus diagonal particle/covariance model,Failed badly / poor reconstruction.,Failed,Pasted text (4).txt; Pasted text (5).txt
M39,Synthetic / diagnostics,Sensitivity modes,Jacobian and actual error-impact spectra,90% of Jacobian energy in 11 modes; 90% of actual sigma-error impact in 6 modes.,Useful compression clue,Pasted text (5).txt
M40,Synthetic width 256; oracle pair moments,Explicit bivariate Edgeworth closure,"Third- and fourth-order pair correction using c21, c31, c22 and marginal cumulants",Gaussian next-variance relative RMS 2.564%; third order 1.009%; third+fourth order 0.288%.,Strong one-step mathematical result,CONTINUED_EXPERIMENT_REPORT.md
M41,Synthetic sampled higher moments with oracle first/second moments,Edgeworth moment sampling,Sample-count sweep for pairwise higher moments,"Layer-31 relative RMS: 1.381% at 1,500; 1.008% at 3,000; 0.779% at 6,000; 0.632% at 12,000; 0.552% at 24,000; 0.516% at 48,000.",Higher moments are estimable but expensive,CONTINUED_EXPERIMENT_REPORT.md
M42,"Fully deployable synthetic 6,000-sample moments",Edgeworth covariance closure,"Estimate first, second, and higher pair moments from the same pilot",Performance became roughly tied with directly sampled sigma at about 1.8–2.4%; the earlier ~0.9% result relied on oracle first/second moments.,No deployable advantage,CONTINUED_EXPERIMENT_REPORT.md
M43,Synthetic depth ablation,Higher Edgeworth terms,Add the formal kappa3-squared term,Improved early layers but worsened deep-layer errors by roughly 14–48%.,Asymptotic series should be truncated,CONTINUED_EXPERIMENT_REPORT.md
M44,Synthetic self-consistent width-64 rollout,Edgeworth rollout stability,Damp oracle and sampled covariance corrections during recursive rollout,"Gaussian final MSE 8.52e-5; oracle strengths 0.25 and 0.50 gave 6.53e-5 and 3.92e-5; 0.75 was unstable; 6,000-sample correction was unstable even at low strengths.",One-step accuracy is insufficient; stability unresolved,CONTINUED_EXPERIMENT_REPORT.md
M45,"Synthetic width 256; 6,000 samples",Covariance shrinkage,Raw sample covariance versus Ledoit–Wolf and OAS,"Quadratic-form errors 2.1096%, 2.1089%, and 2.1082%, respectively.",No meaningful gain,CONTINUED_EXPERIMENT_REPORT.md
M46,Oracle synthetic width 256,Covariance compression,Replace/correct top sample-eigenvector blocks of size 8–128,Errors: top 8 1.605%; 16 1.369%; 32 1.058%; 64 0.736%; 128 0.371%.,Relevant covariance defect remains high-dimensional,CONTINUED_EXPERIMENT_REPORT.md
M47,Synthetic held-out learning,Pairwise denoising,Learn pair residuals with ordinary pairwise loss,"Held-out pair residual R2 about 0.91, but contracted next-variance error worsened to 4.68% versus 2.19% for direct sampled covariance.",Pairwise RMSE/R2 is the wrong objective,CONTINUED_EXPERIMENT_REPORT.md
M48,Synthetic,Mehler/Hermite covariance closure,Naive empirical Mehler and Hermite expansions at increasing order,Became unstable at moderate order and worsened deep-layer errors.,Failed in naive form,CONTINUED_EXPERIMENT_REPORT.md
M49,Synthetic width 256,Edgeworth component shrinkage,Term-wise shrinkage of noisy Edgeworth corrections,Improved error by only about 4%.,Too small,CONTINUED_EXPERIMENT_REPORT.md
M50,Synthetic structured sampling,Higher-moment estimation,"Use structured directions for centered M21, M22, and M31 estimates",Did not improve consistently; cancellation dominated the estimates.,No reliable gain,CONTINUED_EXPERIMENT_REPORT.md
M51,Official Mini records; 20 fit / 20 test,Output calibration,Fit a global quadratic/calibration direction on official records,Gained 2.2% in-sample but worsened the untouched records; held-out gain about 0.996x.,Does not generalize,CONTINUED_EXPERIMENT_REPORT.md
M52,Synthetic cross-width held-out learning,Learned bivariate correction,Universal extra-trees and histogram-gradient-boosting pair-residual models,Extra-trees pair R2 0.561 and next-sigma RMS 1.782%; HGB R2 0.746 and 1.699%; direct empirical covariance achieved 1.459%.,"Residual is learnable, but model loses downstream",CONTINUATION_REPORT.md
M53,Synthetic width 256; pilot-aware held-out learning,Learned bivariate correction,Allow model to see empirical pilot ReLU residual features,"Pair residual R2 reached 0.904 and next-sigma RMS 1.467%, still slightly worse than direct empirical covariance at 1.459%.",High pair accuracy still not operationally useful,CONTINUATION_REPORT.md
M54,Synthetic held-out tuning,Covariance blending,Blend empirical covariance with learned pair correction,Chosen beta was 0.05 for universal models and 0.575 for pilot-aware model; best apparent gain was below 0.03% relative and within uncertainty.,Closed for current models/features,CONTINUATION_REPORT.md
M55,Reduced-width full-rollout ablation,Recursive compatibility,Combine learned covariance and Edgeworth mean corrections separately and jointly,"Learned covariance reduced final sigma error about 25.3% -> 14.2%; each component helped with the other Gaussian, but applying both at full strength worsened final mean MSE.",Approximate mean and covariance states are mutually inconsistent,CONTINUATION_REPORT.md
M56,Synthetic sensitivity audit,Rare-switching follow-up,Measure modal-sign deviations and sensitivity-weighted switching,"Sensitivity-weighted switching remained around 30%, despite large median |mu/sigma| in deep layers.",Global rare-switch expansion closed,CONTINUATION_REPORT.md
M57,Synthetic larger-sample audit,Pruning follow-up,Validate neurons labeled always-on/off by a finite pilot,Some candidates had true switching probabilities around 0.4–0.46 under larger samples.,Pilot-only exact pruning unsafe,CONTINUATION_REPORT.md
M58,Analytic identity,Weight-scale homotopy,Scale every layer by positive global factors,Activation regions and standardized moments are unchanged; activations only receive deterministic scale powers.,Closed analytically,CONTINUATION_REPORT.md
M59,Synthetic pair-model follow-up,Pair distribution models,Naive Gaussian-mixture and Gaussian-copula pair estimators,Did not beat direct empirical pair moments at matched samples.,Closed in tested forms,CONTINUATION_REPORT.md
M60,Synthetic held-out learning,Direct quadratic-form correction,Models trained on next-layer variance corrections and analytic/empirical covariance shrinkage,Held-out models selected almost entirely empirical covariance and produced no material improvement.,Closed for current feature/model classes,CONTINUATION_REPORT.md
A01,Local full 31-layer forward,Arithmetic,Dense Kerdock propagation,~268.4B analytical FLOPs.,Reference implementation,PUBLIC_POST.md
A02,Local full 31-layer forward,Arithmetic,Three-level batched Strassen,~211.1B analytical FLOPs; projected local adjusted score ~1.79e-7.,Large counted-FLOP improvement,PUBLIC_POST.md
A03,Local analytical,Arithmetic,Three-level Winograd variant,~208.0B projected; projected score ~1.75e-7.,Slight theoretical improvement over Strassen,STRATEGY(1).md
A04,Official graded,Implementation,First Strassen submission,Timed out / failed all MLPs because implementation overhead exceeded guard.,Failed operationally,PUBLIC_POST.md
A05,Local and official graded,Implementation,Replace einsum with fnp.matmul and improve batching,Matmul measured ~69x faster; local runtime 18.75s → 5.28s. Graded score 2.39e-7 because residual wall-clock erased projected benefit.,"Engineering improvement, score gain lost",PUBLIC_POST.md
